0045e840 ENDBR64
0045e844 PUSH R13
0045e846 PUSH R12
0045e848 PUSH RBP
0045e849 PUSH RBX
0045e84a SUB RSP,0x8
0045e84e TEST RCX,RCX
0045e851 JNZ 0x0045e859
0045e853 AND R8D,0x1
0045e857 JNZ 0x0045e8a0
0045e859 CALL 0x0051f420
0045e85e LEA RDX,[0x7e2be0]
0045e865 MOV ESI,0x57b
0045e86a XOR R12D,R12D
0045e86d LEA RDI,[0x7e23b8]
0045e874 CALL 0x0051f540
0045e879 XOR EDX,EDX
0045e87b MOV ESI,0x80106
0045e880 XOR EAX,EAX
0045e882 MOV EDI,0x39
0045e887 CALL 0x0051f8f0
0045e88c ADD RSP,0x8
0045e890 MOV EAX,R12D
0045e893 POP RBX
0045e894 POP RBP
0045e895 POP R12
0045e897 POP R13
0045e899 RET
0045e8a0 MOV R12,RDX
0045e8a3 TEST RDX,RDX
0045e8a6 JZ 0x0045e928
0045e8ac MOV RBX,RDI
0045e8af MOV RDI,qword ptr [RDI]
0045e8b2 MOV R13,R9
0045e8b5 CALL 0x0043bf50
0045e8ba MOV RBP,RAX
0045e8bd TEST RAX,RAX
0045e8c0 JZ 0x0045e920
0045e8c2 TEST R13,R13
0045e8c5 JZ 0x0045e8dc
0045e8c7 MOV RDX,qword ptr [RSP + 0x30]
0045e8cc LEA RDI,[RBX + 0x18]
0045e8d0 MOV RSI,R13
0045e8d3 CALL 0x00549540
0045e8d8 TEST EAX,EAX
0045e8da JZ 0x0045e920
0045e8dc SUB RSP,0x8
0045e8e0 MOV EDX,0x440
0045e8e5 MOV RSI,R12
0045e8e8 XOR R8D,R8D
0045e8eb PUSH RBX
0045e8ec LEA R9,[0x457550]
0045e8f3 LEA RCX,[0x7e248a]
0045e8fa MOV RDI,RBP
0045e8fd CALL 0x00456e70
0045e902 MOV R12D,EAX
0045e905 POP RAX
0045e906 POP RDX
0045e907 MOV RDI,RBP
0045e90a CALL 0x004ab560
0045e90f ADD RSP,0x8
0045e913 MOV EAX,R12D
0045e916 POP RBX
0045e917 POP RBP
0045e918 POP R12
0045e91a POP R13
0045e91c RET
0045e920 XOR R12D,R12D
0045e923 JMP 0x0045e907
0045e928 CALL 0x0051f420
0045e92d LEA RDX,[0x7e3bc8]
0045e934 MOV ESI,0x416
0045e939 LEA RDI,[0x7e23b8]
0045e940 CALL 0x0051f540
0045e945 XOR EDX,EDX
0045e947 MOV ESI,0xc0102
0045e94c XOR EAX,EAX
0045e94e MOV EDI,0x39
0045e953 CALL 0x0051f8f0
0045e958 JMP 0x0045e88c
