0049bfc0 MOV R9,RDX
0049bfc3 MOV R11,0x10
0049bfca MOV EAX,dword ptr [RDX + 0xf0]
0049bfd0 MOVDQA XMM1,XMM9
0049bfd5 MOVDQA XMM2,xmmword ptr [0x0049c7f0]
0049bfdd PANDN XMM1,XMM0
0049bfe1 MOVDQU XMM5,xmmword ptr [R9]
0049bfe6 PSRLD XMM1,0x4
0049bfeb PAND XMM0,XMM9
0049bff0 PSHUFB XMM2,XMM0
0049bff5 MOVDQA XMM0,xmmword ptr [0x0049c800]
0049bffd PSHUFB XMM0,XMM1
0049c002 PXOR XMM2,XMM5
0049c006 ADD R9,0x10
0049c00a PXOR XMM0,XMM2
0049c00e LEA R10,[0x49c8b0]
0049c015 JMP 0x0049c090
0049c020 MOVDQA XMM4,XMM13
0049c025 MOVDQA XMM0,XMM12
0049c02a PSHUFB XMM4,XMM2
0049c02f PSHUFB XMM0,XMM3
0049c034 PXOR XMM4,XMM5
0049c038 MOVDQA XMM5,XMM15
0049c03d PXOR XMM0,XMM4
0049c041 MOVDQA XMM1,xmmword ptr [R11 + R10*0x1 + -0x40]
0049c048 PSHUFB XMM5,XMM2
0049c04d MOVDQA XMM4,xmmword ptr [R11 + R10*0x1]
0049c053 MOVDQA XMM2,XMM14
0049c058 PSHUFB XMM2,XMM3
0049c05d MOVDQA XMM3,XMM0
0049c061 PXOR XMM2,XMM5
0049c065 PSHUFB XMM0,XMM1
0049c06a ADD R9,0x10
0049c06e PXOR XMM0,XMM2
0049c072 PSHUFB XMM3,XMM4
0049c077 ADD R11,0x10
0049c07b PXOR XMM3,XMM0
0049c07f PSHUFB XMM0,XMM1
0049c084 AND R11,0x30
0049c088 SUB RAX,0x1
0049c08c PXOR XMM0,XMM3
0049c090 MOVDQA XMM1,XMM9
0049c095 MOVDQA XMM5,XMM11
0049c09a PANDN XMM1,XMM0
0049c09e PSRLD XMM1,0x4
0049c0a3 PAND XMM0,XMM9
0049c0a8 PSHUFB XMM5,XMM0
0049c0ad MOVDQA XMM3,XMM10
0049c0b2 PXOR XMM0,XMM1
0049c0b6 PSHUFB XMM3,XMM1
0049c0bb MOVDQA XMM4,XMM10
0049c0c0 PXOR XMM3,XMM5
0049c0c4 PSHUFB XMM4,XMM0
0049c0c9 MOVDQA XMM2,XMM10
0049c0ce PXOR XMM4,XMM5
0049c0d2 PSHUFB XMM2,XMM3
0049c0d7 MOVDQA XMM3,XMM10
0049c0dc PXOR XMM2,XMM0
0049c0e0 PSHUFB XMM3,XMM4
0049c0e5 MOVDQU XMM5,xmmword ptr [R9]
0049c0ea PXOR XMM3,XMM1
0049c0ee JNZ 0x0049c020
0049c0f4 MOVDQA XMM4,xmmword ptr [R10 + -0x60]
0049c0fa MOVDQA XMM0,xmmword ptr [R10 + -0x50]
0049c100 PSHUFB XMM4,XMM2
0049c105 PXOR XMM4,XMM5
0049c109 PSHUFB XMM0,XMM3
0049c10e MOVDQA XMM1,xmmword ptr [R11 + R10*0x1 + 0x40]
0049c115 PXOR XMM0,XMM4
0049c119 PSHUFB XMM0,XMM1
0049c11e RET
