0045ea80 ENDBR64
0045ea84 PUSH R13
0045ea86 PUSH R12
0045ea88 PUSH RBP
0045ea89 PUSH RBX
0045ea8a SUB RSP,0x8
0045ea8e TEST RCX,RCX
0045ea91 JNZ 0x0045ea99
0045ea93 AND R8D,0x1
0045ea97 JNZ 0x0045eae0
0045ea99 CALL 0x0051f420
0045ea9e LEA RDX,[0x7e2b60]
0045eaa5 MOV ESI,0x57d
0045eaaa XOR R12D,R12D
0045eaad LEA RDI,[0x7e23b8]
0045eab4 CALL 0x0051f540
0045eab9 XOR EDX,EDX
0045eabb MOV ESI,0x80106
0045eac0 XOR EAX,EAX
0045eac2 MOV EDI,0x39
0045eac7 CALL 0x0051f8f0
0045eacc ADD RSP,0x8
0045ead0 MOV EAX,R12D
0045ead3 POP RBX
0045ead4 POP RBP
0045ead5 POP R12
0045ead7 POP R13
0045ead9 RET
0045eae0 MOV R12,RDX
0045eae3 TEST RDX,RDX
0045eae6 JZ 0x0045eb68
0045eaec MOV RBX,RDI
0045eaef MOV RDI,qword ptr [RDI]
0045eaf2 MOV R13,R9
0045eaf5 CALL 0x0043bf50
0045eafa MOV RBP,RAX
0045eafd TEST RAX,RAX
0045eb00 JZ 0x0045eb60
0045eb02 TEST R13,R13
0045eb05 JZ 0x0045eb1c
0045eb07 MOV RDX,qword ptr [RSP + 0x30]
0045eb0c LEA RDI,[RBX + 0x18]
0045eb10 MOV RSI,R13
0045eb13 CALL 0x00549540
0045eb18 TEST EAX,EAX
0045eb1a JZ 0x0045eb60
0045eb1c SUB RSP,0x8
0045eb20 MOV EDX,0x440
0045eb25 MOV RSI,R12
0045eb28 XOR R8D,R8D
0045eb2b PUSH RBX
0045eb2c LEA R9,[0x457550]
0045eb33 LEA RCX,[0x7e248a]
0045eb3a MOV RDI,RBP
0045eb3d CALL 0x0045ae10
0045eb42 MOV R12D,EAX
0045eb45 POP RAX
0045eb46 POP RDX
0045eb47 MOV RDI,RBP
0045eb4a CALL 0x004ab560
0045eb4f ADD RSP,0x8
0045eb53 MOV EAX,R12D
0045eb56 POP RBX
0045eb57 POP RBP
0045eb58 POP R12
0045eb5a POP R13
0045eb5c RET
0045eb60 XOR R12D,R12D
0045eb63 JMP 0x0045eb47
0045eb68 CALL 0x0051f420
0045eb6d LEA RDX,[0x7e3bc8]
0045eb74 MOV ESI,0x416
0045eb79 LEA RDI,[0x7e23b8]
0045eb80 CALL 0x0051f540
0045eb85 XOR EDX,EDX
0045eb87 MOV ESI,0xc0102
0045eb8c XOR EAX,EAX
0045eb8e MOV EDI,0x39
0045eb93 CALL 0x0051f8f0
0045eb98 JMP 0x0045eacc
