004ee6d0 ENDBR64
004ee6d4 PUSH R15
004ee6d6 PUSH R14
004ee6d8 PUSH R13
004ee6da PUSH R12
004ee6dc PUSH RBP
004ee6dd PUSH RBX
004ee6de MOV RBX,RDI
004ee6e1 SUB RSP,0x8
004ee6e5 MOV R14,qword ptr [RDI + 0x18]
004ee6e9 MOV RDI,qword ptr [RDI + 0x58]
004ee6ed CALL 0x004b2b20
004ee6f2 MOV RDI,RBX
004ee6f5 MOV R12,RAX
004ee6f8 CALL 0x004ee6c0
004ee6fd TEST R12,R12
004ee700 JZ 0x004ee818
004ee706 MOV RBP,qword ptr [RBX + 0x28]
004ee70a MOV R13D,EAX
004ee70d TEST RBP,RBP
004ee710 JZ 0x004ee800
004ee716 MOV RDI,R14
004ee719 CALL 0x004ef7e0
004ee71e MOV R15,RAX
004ee721 TEST RAX,RAX
004ee724 JZ 0x004ee870
004ee72a AND R13D,0x4
004ee72e JNZ 0x004ee7d0
004ee734 MOV RDI,RAX
004ee737 CALL 0x004b82e0
004ee73c MOV R13,RAX
004ee73f TEST RAX,RAX
004ee742 JNZ 0x004ee760
004ee744 JMP 0x004ee774
004ee750 MOV RDI,RBP
004ee753 CALL 0x004b7ba0
004ee758 TEST EAX,EAX
004ee75a JZ 0x004ee828
004ee760 XOR EDX,EDX
004ee762 MOV RCX,R12
004ee765 MOV RSI,R13
004ee768 MOV RDI,RBP
004ee76b CALL 0x004bb5a0
004ee770 TEST EAX,EAX
004ee772 JNZ 0x004ee750
004ee774 XOR R15D,R15D
004ee777 LEA RDI,[0x7fe10a]
004ee77e CALL 0x0043b830
004ee783 MOV RDI,qword ptr [RBX + 0x28]
004ee787 CALL 0x004b7780
004ee78c MOV RSI,qword ptr [RBX + 0x20]
004ee790 XOR EBX,EBX
004ee792 TEST RSI,RSI
004ee795 JZ 0x004ee79f
004ee797 MOV RDI,R14
004ee79a CALL 0x004f0830
004ee79f MOV RDI,R15
004ee7a2 CALL 0x004efcc0
004ee7a7 MOV RDI,RBP
004ee7aa CALL 0x004b7f20
004ee7af MOV RDI,R12
004ee7b2 CALL 0x004b2b50
004ee7b7 MOV RDI,R13
004ee7ba CALL 0x004b7fa0
004ee7bf ADD RSP,0x8
004ee7c3 MOV EAX,EBX
004ee7c5 POP RBX
004ee7c6 POP RBP
004ee7c7 POP R12
004ee7c9 POP R13
004ee7cb POP R14
004ee7cd POP R15
004ee7cf RET
004ee7d0 CALL 0x004b7690
004ee7d5 MOV R13,RAX
004ee7d8 TEST RAX,RAX
004ee7db JZ 0x004ee774
004ee7dd CALL 0x004b75a0
004ee7e2 MOV RSI,R15
004ee7e5 MOV RDI,R13
004ee7e8 MOV RDX,RAX
004ee7eb CALL 0x004b18d0
004ee7f0 TEST EAX,EAX
004ee7f2 JNZ 0x004ee760
004ee7f8 JMP 0x004ee774
004ee800 CALL 0x004b7700
004ee805 MOV RBP,RAX
004ee808 TEST RAX,RAX
004ee80b JNZ 0x004ee716
004ee811 NOP dword ptr [RAX]
004ee818 XOR R13D,R13D
004ee81b XOR EBP,EBP
004ee81d XOR R15D,R15D
004ee820 JMP 0x004ee777
004ee828 MOV R15,qword ptr [RBX + 0x20]
004ee82c TEST R15,R15
004ee82f JZ 0x004ee880
004ee831 XOR R8D,R8D
004ee834 XOR ECX,ECX
004ee836 MOV R9,R12
004ee839 MOV RDX,RBP
004ee83c MOV RSI,R15
004ee83f MOV RDI,R14
004ee842 CALL 0x004f1750
004ee847 TEST EAX,EAX
004ee849 JZ 0x004ee777
004ee84f MOV qword ptr [RBX + 0x28],RBP
004ee853 XOR EBP,EBP
004ee855 MOV qword ptr [RBX + 0x20],R15
004ee859 XOR R15D,R15D
004ee85c ADD qword ptr [RBX + 0x68],0x1
004ee861 MOV EBX,0x1
004ee866 JMP 0x004ee79f
004ee870 XOR R13D,R13D
004ee873 JMP 0x004ee777
004ee880 MOV RDI,R14
004ee883 CALL 0x004efb90
004ee888 MOV R15,RAX
004ee88b TEST RAX,RAX
004ee88e JNZ 0x004ee831
004ee890 JMP 0x004ee777
