0045ddf0 ENDBR64
0045ddf4 PUSH R13
0045ddf6 PUSH R12
0045ddf8 PUSH RBP
0045ddf9 PUSH RBX
0045ddfa SUB RSP,0x8
0045ddfe TEST RCX,RCX
0045de01 JNZ 0x0045de09
0045de03 AND R8D,0x1
0045de07 JNZ 0x0045de50
0045de09 CALL 0x0051f420
0045de0e LEA RDX,[0x7e31e0]
0045de15 MOV ESI,0x560
0045de1a XOR R12D,R12D
0045de1d LEA RDI,[0x7e23b8]
0045de24 CALL 0x0051f540
0045de29 XOR EDX,EDX
0045de2b MOV ESI,0x80106
0045de30 XOR EAX,EAX
0045de32 MOV EDI,0x39
0045de37 CALL 0x0051f8f0
0045de3c ADD RSP,0x8
0045de40 MOV EAX,R12D
0045de43 POP RBX
0045de44 POP RBP
0045de45 POP R12
0045de47 POP R13
0045de49 RET
0045de50 MOV R12,RDX
0045de53 TEST RDX,RDX
0045de56 JZ 0x0045dee0
0045de5c MOV RBX,RDI
0045de5f MOV RDI,qword ptr [RDI]
0045de62 MOV R13,R9
0045de65 CALL 0x0043bf50
0045de6a MOV RBP,RAX
0045de6d TEST RAX,RAX
0045de70 JZ 0x0045ded8
0045de72 TEST R13,R13
0045de75 JZ 0x0045de8c
0045de77 MOV RDX,qword ptr [RSP + 0x30]
0045de7c LEA RDI,[RBX + 0x18]
0045de80 MOV RSI,R13
0045de83 CALL 0x00549540
0045de88 TEST EAX,EAX
0045de8a JZ 0x0045ded8
0045de8c SUB RSP,0x8
0045de90 MOV EDX,0x74
0045de95 MOV RSI,R12
0045de98 MOV RDI,RBP
0045de9b PUSH RBX
0045de9c LEA R9,[0x457360]
0045dea3 LEA R8,[0x459550]
0045deaa LEA RCX,[0x7e2286]
0045deb1 CALL 0x0045b0d0
0045deb6 MOV R12D,EAX
0045deb9 POP RAX
0045deba POP RDX
0045debb MOV RDI,RBP
0045debe CALL 0x004ab560
0045dec3 ADD RSP,0x8
0045dec7 MOV EAX,R12D
0045deca POP RBX
0045decb POP RBP
0045decc POP R12
0045dece POP R13
0045ded0 RET
0045ded8 XOR R12D,R12D
0045dedb JMP 0x0045debb
0045dee0 CALL 0x0051f420
0045dee5 LEA RDX,[0x7e3bc8]
0045deec MOV ESI,0x416
0045def1 LEA RDI,[0x7e23b8]
0045def8 CALL 0x0051f540
0045defd XOR EDX,EDX
0045deff MOV ESI,0xc0102
0045df04 XOR EAX,EAX
0045df06 MOV EDI,0x39
0045df0b CALL 0x0051f8f0
0045df10 JMP 0x0045de3c
