005a9ff0 ENDBR64
005a9ff4 PUSH R15
005a9ff6 MOV R15,RCX
005a9ff9 PUSH R14
005a9ffb MOV R14D,EDX
005a9ffe PUSH R13
005aa000 MOV R13,RDI
005aa003 PUSH R12
005aa005 MOV R12,RSI
005aa008 XOR ESI,ESI
005aa00a PUSH RBP
005aa00b MOV RDI,R12
005aa00e PUSH RBX
005aa00f MOV EBX,R8D
005aa012 SUB RSP,0x8
005aa016 CALL 0x00424530
005aa01b TEST RAX,RAX
005aa01e JZ 0x005aa058
005aa020 MOV RBP,RAX
005aa023 MOV RDI,R13
005aa026 MOV R8D,EBX
005aa029 MOV RCX,R15
005aa02c MOV EDX,R14D
005aa02f MOV RSI,RAX
005aa032 CALL 0x005a9ec0
005aa037 MOV RDI,RBP
005aa03a MOV R12,RAX
005aa03d CALL 0x004a06b0
005aa042 ADD RSP,0x8
005aa046 MOV RAX,R12
005aa049 POP RBX
005aa04a POP RBP
005aa04b POP R12
005aa04d POP R13
005aa04f POP R14
005aa051 POP R15
005aa053 RET
005aa058 CALL 0x0051f420
005aa05d LEA RDX,[0x80d370]
005aa064 MOV ESI,0xf9
005aa069 LEA RDI,[0x80d316]
005aa070 CALL 0x0051f540
005aa075 MOV RCX,R12
005aa078 MOV ESI,0x77
005aa07d XOR EAX,EAX
005aa07f LEA RDX,[0x7e9daa]
005aa086 MOV EDI,0xb
005aa08b XOR R12D,R12D
005aa08e CALL 0x0051f8f0
005aa093 JMP 0x005aa042
