0059fda0 ENDBR64
0059fda4 PUSH R14
0059fda6 MOV R14,RSI
0059fda9 PUSH R13
0059fdab MOV R13,RDI
0059fdae PUSH R12
0059fdb0 PUSH RBP
0059fdb1 PUSH RBX
0059fdb2 XOR EBX,EBX
0059fdb4 MOV RBP,qword ptr [RDI + 0x10]
0059fdb8 JMP 0x0059fdd6
0059fdc0 MOV ESI,EBX
0059fdc2 MOV RDI,RBP
0059fdc5 CALL 0x004364a0
0059fdca MOV R12,RAX
0059fdcd CMP qword ptr [RAX + 0x8],R14
0059fdd1 JZ 0x0059fe06
0059fdd3 ADD EBX,0x1
0059fdd6 MOV RDI,RBP
0059fdd9 CALL 0x00436480
0059fdde CMP EAX,EBX
0059fde0 JG 0x0059fdc0
0059fde2 MOV RDI,R14
0059fde5 CALL 0x0059f790
0059fdea MOV R12,RAX
0059fded TEST RAX,RAX
0059fdf0 JZ 0x0059fe5f
0059fdf2 MOV qword ptr [RAX + 0x18],R13
0059fdf6 MOV RDI,qword ptr [R13 + 0x10]
0059fdfa MOV RSI,RAX
0059fdfd CALL 0x00435f80
0059fe02 TEST EAX,EAX
0059fe04 JZ 0x0059fe18
0059fe06 POP RBX
0059fe07 MOV RAX,R12
0059fe0a POP RBP
0059fe0b POP R12
0059fe0d POP R13
0059fe0f POP R14
0059fe11 RET
0059fe18 CALL 0x0051f420
0059fe1d LEA RDX,[0x80c050]
0059fe24 MOV ESI,0x120
0059fe29 LEA RDI,[0x80bfc7]
0059fe30 CALL 0x0051f540
0059fe35 XOR EAX,EAX
0059fe37 XOR EDX,EDX
0059fe39 MOV ESI,0xc0100
0059fe3e MOV EDI,0xb
0059fe43 CALL 0x0051f8f0
0059fe48 MOV RDI,R12
0059fe4b XOR R12D,R12D
0059fe4e CALL 0x0059f830
0059fe53 POP RBX
0059fe54 MOV RAX,R12
0059fe57 POP RBP
0059fe58 POP R12
0059fe5a POP R13
0059fe5c POP R14
0059fe5e RET
0059fe5f CALL 0x0051f420
0059fe64 LEA RDX,[0x80c050]
0059fe6b MOV ESI,0x118
0059fe70 LEA RDI,[0x80bfc7]
0059fe77 CALL 0x0051f540
0059fe7c XOR EDX,EDX
0059fe7e MOV ESI,0xc0100
0059fe83 XOR EAX,EAX
0059fe85 MOV EDI,0xb
0059fe8a CALL 0x0051f8f0
0059fe8f JMP 0x0059fe06
