004eb160 ENDBR64
004eb164 PUSH R12
004eb166 MOV R12,RDI
004eb169 PUSH RBP
004eb16a SUB RSP,0x8
004eb16e TEST RSI,RSI
004eb171 JZ 0x004eb1c0
004eb173 MOV RBP,RSI
004eb176 LEA RSI,[0x81896a]
004eb17d MOV RDI,RBP
004eb180 CALL 0x0041c9c0
004eb185 TEST EAX,EAX
004eb187 JZ 0x004eb1f0
004eb189 LEA RSI,[0x7f9495]
004eb190 MOV RDI,RBP
004eb193 CALL 0x0041c9c0
004eb198 TEST EAX,EAX
004eb19a JZ 0x004eb210
004eb19c LEA RSI,[0x7f948a]
004eb1a3 MOV RDI,RBP
004eb1a6 CALL 0x0041c9c0
004eb1ab MOV R8D,EAX
004eb1ae XOR EAX,EAX
004eb1b0 TEST R8D,R8D
004eb1b3 JZ 0x004eb220
004eb1b5 ADD RSP,0x8
004eb1b9 POP RBP
004eb1ba POP R12
004eb1bc RET
004eb1c0 XOR EBP,EBP
004eb1c2 MOV RDI,R12
004eb1c5 MOV ESI,0x6000
004eb1ca CALL 0x004ee930
004eb1cf MOV ESI,EBP
004eb1d1 MOV RDI,R12
004eb1d4 CALL 0x004ee8a0
004eb1d9 ADD RSP,0x8
004eb1dd MOV EAX,0x1
004eb1e2 POP RBP
004eb1e3 POP R12
004eb1e5 RET
004eb1f0 XOR EAX,EAX
004eb1f2 SHL RAX,0x4
004eb1f6 LEA RDX,[0x903600]
004eb1fd MOV EBP,dword ptr [RDX + RAX*0x1]
004eb200 CMP EBP,-0x1
004eb203 JNZ 0x004eb1c2
004eb205 XOR EAX,EAX
004eb207 JMP 0x004eb1b5
004eb210 MOV EAX,0x1
004eb215 JMP 0x004eb1f2
004eb220 MOV EAX,0x2
004eb225 JMP 0x004eb1f2
