00526ba0 ENDBR64
00526ba4 PUSH R14
00526ba6 MOV R14D,ECX
00526ba9 PUSH R13
00526bab MOV R13,RSI
00526bae PUSH R12
00526bb0 PUSH RBP
00526bb1 MOV RBP,RDI
00526bb4 PUSH RBX
00526bb5 CALL 0x004098f0
00526bba MOV RDI,RBP
00526bbd MOV RBX,RAX
00526bc0 CALL 0x00409860
00526bc5 MOV RDI,RAX
00526bc8 CALL 0x0040a4b0
00526bcd MOV RDI,RBP
00526bd0 MOV R12D,EAX
00526bd3 SUB EAX,0x1
00526bd6 CMP EAX,0x1
00526bd9 JA 0x00526c38
00526bdb TEST R14D,R14D
00526bde JZ 0x00526cc0
00526be4 CALL 0x0040a180
00526be9 MOV RDX,RBX
00526bec MOV RDI,R13
00526bef LEA ESI,[RAX*0x8]
00526bf6 CALL 0x00498c50
00526bfb MOV RDX,0x494ec0
00526c02 MOV qword ptr [RBX + 0xf8],RDX
00526c09 CMP R12D,0x2
00526c0d JNZ 0x00526c67
00526c0f MOV RDX,0x498270
00526c16 MOV qword ptr [RBX + 0x100],RDX
00526c1d MOV R8D,0x1
00526c23 TEST EAX,EAX
00526c25 JS 0x00526c7c
00526c27 POP RBX
00526c28 MOV EAX,R8D
00526c2b POP RBP
00526c2c POP R12
00526c2e POP R13
00526c30 POP R14
00526c32 RET
00526c38 CALL 0x0040a180
00526c3d MOV RDX,RBX
00526c40 MOV RDI,R13
00526c43 LEA ESI,[RAX*0x8]
00526c4a CALL 0x00498c50
00526c4f MOV RDX,0x494ec0
00526c56 MOV qword ptr [RBX + 0xf8],RDX
00526c5d CMP R12D,0x5
00526c61 JZ 0x00526d00
00526c67 MOV qword ptr [RBX + 0x100],0x0
00526c72 MOV R8D,0x1
00526c78 TEST EAX,EAX
00526c7a JNS 0x00526c27
00526c7c CALL 0x0051f420
00526c81 LEA RDX,[0x804208]
00526c88 MOV ESI,0xad
00526c8d LEA RDI,[0x803f83]
00526c94 CALL 0x0051f540
00526c99 XOR EAX,EAX
00526c9b XOR EDX,EDX
00526c9d MOV ESI,0x8f
00526ca2 MOV EDI,0x6
00526ca7 CALL 0x0051f8f0
00526cac XOR R8D,R8D
00526caf POP RBX
00526cb0 POP RBP
00526cb1 MOV EAX,R8D
00526cb4 POP R12
00526cb6 POP R13
00526cb8 POP R14
00526cba RET
00526cc0 CALL 0x0040a180
00526cc5 MOV RDX,RBX
00526cc8 MOV RDI,R13
00526ccb LEA ESI,[RAX*0x8]
00526cd2 CALL 0x00498be0
00526cd7 MOV RDX,0x494f10
00526cde MOV qword ptr [RBX + 0xf8],RDX
00526ce5 XOR EDX,EDX
00526ce7 CMP R12D,0x2
00526ceb JNZ 0x00526c16
00526cf1 JMP 0x00526c0f
00526d00 MOV RDX,0x495dc0
00526d07 JMP 0x00526c16
