0043e4b0 ENDBR64
0043e4b4 PUSH R13
0043e4b6 MOV R13,RDI
0043e4b9 PUSH R12
0043e4bb PUSH RBP
0043e4bc MOV RBP,RSI
0043e4bf LEA RSI,[0x7e12f8]
0043e4c6 MOV RDI,RBP
0043e4c9 CALL 0x0041cdd0
0043e4ce TEST RAX,RAX
0043e4d1 JZ 0x0043e4f3
0043e4d3 MOV EDI,dword ptr [R13 + 0x38]
0043e4d7 MOV R12,RAX
0043e4da CALL 0x0044bc50
0043e4df MOV RSI,RAX
0043e4e2 TEST RAX,RAX
0043e4e5 JZ 0x0043e508
0043e4e7 MOV RDI,R12
0043e4ea CALL 0x0041e1a0
0043e4ef TEST EAX,EAX
0043e4f1 JZ 0x0043e508
0043e4f3 MOV RSI,RBP
0043e4f6 MOV RDI,R13
0043e4f9 POP RBP
0043e4fa POP R12
0043e4fc POP R13
0043e4fe JMP 0x00486180
0043e508 CALL 0x0051f420
0043e50d LEA RDX,[0x7e1310]
0043e514 MOV ESI,0x38
0043e519 LEA RDI,[0x7e12c0]
0043e520 CALL 0x0051f540
0043e525 XOR EAX,EAX
0043e527 XOR EDX,EDX
0043e529 MOV ESI,0x68
0043e52e MOV EDI,0x39
0043e533 CALL 0x0051f8f0
0043e538 POP RBP
0043e539 XOR EAX,EAX
0043e53b POP R12
0043e53d POP R13
0043e53f RET
