005f3460 ENDBR64
005f3464 PUSH R14
005f3466 PUSH R13
005f3468 PUSH R12
005f346a PUSH RBP
005f346b SUB RSP,0x8
005f346f TEST RSI,RSI
005f3472 JZ 0x005f34e0
005f3474 MOV RBP,RDI
005f3477 MOV R12,RSI
005f347a MOV R13D,EDX
005f347d CALL 0x004a85c0
005f3482 MOV RDI,RBP
005f3485 MOV R14,RAX
005f3488 CALL 0x004a93f0
005f348d MOV RDI,RAX
005f3490 TEST R14,R14
005f3493 JZ 0x005f34e0
005f3495 TEST RAX,RAX
005f3498 JZ 0x005f34e0
005f349a MOV EDX,R13D
005f349d MOV RSI,R12
005f34a0 CALL 0x004a86f0
005f34a5 MOV RDI,RBP
005f34a8 MOV R13D,EAX
005f34ab CALL 0x004a85e0
005f34b0 TEST EAX,EAX
005f34b2 JZ 0x005f34b9
005f34b4 TEST R13D,R13D
005f34b7 JG 0x005f34f8
005f34b9 MOV RDI,RBP
005f34bc MOV ESI,0xf
005f34c1 CALL 0x004a8640
005f34c6 MOV RDI,RBP
005f34c9 CALL 0x004a9570
005f34ce ADD RSP,0x8
005f34d2 MOV EAX,R13D
005f34d5 POP RBP
005f34d6 POP R12
005f34d8 POP R13
005f34da POP R14
005f34dc RET
005f34e0 XOR R13D,R13D
005f34e3 ADD RSP,0x8
005f34e7 MOV EAX,R13D
005f34ea POP RBP
005f34eb POP R12
005f34ed POP R13
005f34ef POP R14
005f34f1 RET
005f34f8 MOVSXD RDX,R13D
005f34fb MOV RSI,R12
005f34fe MOV RDI,R14
005f3501 CALL 0x00518350
005f3506 TEST EAX,EAX
005f3508 JG 0x005f34b9
005f350a OR R13D,0xffffffff
005f350e JMP 0x005f34e3
