004e5160 ENDBR64
004e5164 PUSH R15
004e5166 PUSH R14
004e5168 MOV R14,RSI
004e516b PUSH R13
004e516d MOV R13,RDX
004e5170 PUSH R12
004e5172 MOV R12,RCX
004e5175 PUSH RBP
004e5176 MOV RBP,RDI
004e5179 PUSH RBX
004e517a SUB RSP,0x8
004e517e MOV RAX,qword ptr [RDI]
004e5181 MOV RAX,qword ptr [RAX + 0x190]
004e5188 TEST RAX,RAX
004e518b JZ 0x004e51a0
004e518d ADD RSP,0x8
004e5191 POP RBX
004e5192 POP RBP
004e5193 POP R12
004e5195 POP R13
004e5197 POP R14
004e5199 POP R15
004e519b JMP RAX
004e51a0 CMP qword ptr [RDI + 0x90],0x0
004e51a8 JZ 0x004e5208
004e51aa XOR EBX,EBX
004e51ac TEST RCX,RCX
004e51af JZ 0x004e5250
004e51b5 MOV RDI,R12
004e51b8 CALL 0x004aefa0
004e51bd MOV RDI,R12
004e51c0 CALL 0x004af190
004e51c5 MOV R15,RAX
004e51c8 TEST RAX,RAX
004e51cb JZ 0x004e51de
004e51cd MOV ESI,0x2
004e51d2 MOV RDI,RAX
004e51d5 CALL 0x004b0500
004e51da TEST EAX,EAX
004e51dc JNZ 0x004e5210
004e51de XOR R13D,R13D
004e51e1 MOV RDI,R12
004e51e4 CALL 0x004af0f0
004e51e9 MOV RDI,RBX
004e51ec CALL 0x004aeef0
004e51f1 ADD RSP,0x8
004e51f5 MOV EAX,R13D
004e51f8 POP RBX
004e51f9 POP RBP
004e51fa POP R12
004e51fc POP R13
004e51fe POP R14
004e5200 POP R15
004e5202 RET
004e5208 XOR R13D,R13D
004e520b JMP 0x004e51f1
004e5210 MOV RSI,qword ptr [RBP + 0x10]
004e5214 MOV RDX,R15
004e5217 MOV RDI,R15
004e521a CALL 0x005aea40
004e521f TEST EAX,EAX
004e5221 JZ 0x004e51de
004e5223 MOV RCX,qword ptr [RBP + 0x10]
004e5227 MOV RSI,R13
004e522a MOV R8,R12
004e522d MOV RDX,R15
004e5230 MOV R9,qword ptr [RBP + 0x90]
004e5237 MOV RDI,R14
004e523a XOR R13D,R13D
004e523d CALL 0x005b0370
004e5242 TEST EAX,EAX
004e5244 SETNZ R13B
004e5248 JMP 0x004e51e1
004e5250 CALL 0x004aeee0
004e5255 MOV R12,RAX
004e5258 TEST RAX,RAX
004e525b JZ 0x004e5208
004e525d MOV RBX,RAX
004e5260 JMP 0x004e51b5
