004eb3e0 ENDBR64
004eb3e4 PUSH R13
004eb3e6 MOV R13,RDI
004eb3e9 PUSH R12
004eb3eb MOV R12,RSI
004eb3ee PUSH RBP
004eb3ef CALL 0x004adb00
004eb3f4 MOV RDI,RAX
004eb3f7 CALL 0x004a84d0
004eb3fc TEST RAX,RAX
004eb3ff JZ 0x004eb438
004eb401 MOV RBP,RAX
004eb404 MOV RCX,R13
004eb407 XOR EDX,EDX
004eb409 MOV ESI,0x6a
004eb40e MOV RDI,RAX
004eb411 CALL 0x004a8cc0
004eb416 MOV RSI,R12
004eb419 MOV RDI,RBP
004eb41c CALL 0x004dbba0
004eb421 MOV RDI,RBP
004eb424 MOV R12D,EAX
004eb427 CALL 0x004a84e0
004eb42c MOV EAX,R12D
004eb42f POP RBP
004eb430 POP R12
004eb432 POP R13
004eb434 RET
004eb438 CALL 0x00511480
004eb43d LEA RDX,[0x7f3d50]
004eb444 MOV ESI,0x39
004eb449 XOR R12D,R12D
004eb44c LEA RDI,[0x7f3cf0]
004eb453 CALL 0x005115a0
004eb458 XOR EAX,EAX
004eb45a XOR EDX,EDX
004eb45c MOV ESI,0x80020
004eb461 MOV EDI,0x10
004eb466 CALL 0x00511950
004eb46b MOV EAX,R12D
004eb46e POP RBP
004eb46f POP R12
004eb471 POP R13
004eb473 RET
