004cdc10 ENDBR64
004cdc14 PUSH R12
004cdc16 MOV EDX,0x24
004cdc1b MOV EDI,0x10
004cdc20 PUSH RBP
004cdc21 LEA RBP,[0x7e0b42]
004cdc28 MOV RSI,RBP
004cdc2b SUB RSP,0x8
004cdc2f CALL 0x004198d0
004cdc34 MOV R12,RAX
004cdc37 TEST RAX,RAX
004cdc3a JZ 0x004cdc50
004cdc3c ADD RSP,0x8
004cdc40 MOV RAX,R12
004cdc43 POP RBP
004cdc44 POP R12
004cdc46 RET
004cdc50 CALL 0x00511480
004cdc55 MOV RDI,RBP
004cdc58 MOV ESI,0x26
004cdc5d LEA RDX,[0x7e0b60]
004cdc64 CALL 0x005115a0
004cdc69 XOR EAX,EAX
004cdc6b XOR EDX,EDX
004cdc6d MOV ESI,0xc0100
004cdc72 MOV EDI,0xa
004cdc77 CALL 0x00511950
004cdc7c ADD RSP,0x8
004cdc80 MOV RAX,R12
004cdc83 POP RBP
004cdc84 POP R12
004cdc86 RET
