0049a1b0 MOVDQA XMM4,XMM0
0049a1b4 MOVDQA XMM5,xmmword ptr [0x0049a4f0]
0049a1bc TEST RCX,RCX
0049a1bf JNZ 0x0049a1f0
0049a1c1 ADD RDX,0x10
0049a1c5 PXOR XMM4,xmmword ptr [0x0049a5c0]
0049a1cd PSHUFB XMM4,XMM5
0049a1d2 MOVDQA XMM3,XMM4
0049a1d6 PSHUFB XMM4,XMM5
0049a1db PXOR XMM3,XMM4
0049a1df PSHUFB XMM4,XMM5
0049a1e4 PXOR XMM3,XMM4
0049a1e8 JMP 0x0049a290
0049a1f0 LEA R11,[0x49a610]
0049a1f7 MOVDQA XMM1,XMM9
0049a1fc PANDN XMM1,XMM4
0049a200 PSRLD XMM1,0x4
0049a205 PAND XMM4,XMM9
0049a20a MOVDQA XMM2,xmmword ptr [R11]
0049a20f PSHUFB XMM2,XMM4
0049a214 MOVDQA XMM3,xmmword ptr [R11 + 0x10]
0049a21a PSHUFB XMM3,XMM1
0049a21f PXOR XMM3,XMM2
0049a223 PSHUFB XMM3,XMM5
0049a228 MOVDQA XMM2,xmmword ptr [R11 + 0x20]
0049a22e PSHUFB XMM2,XMM4
0049a233 PXOR XMM2,XMM3
0049a237 MOVDQA XMM3,xmmword ptr [R11 + 0x30]
0049a23d PSHUFB XMM3,XMM1
0049a242 PXOR XMM3,XMM2
0049a246 PSHUFB XMM3,XMM5
0049a24b MOVDQA XMM2,xmmword ptr [R11 + 0x40]
0049a251 PSHUFB XMM2,XMM4
0049a256 PXOR XMM2,XMM3
0049a25a MOVDQA XMM3,xmmword ptr [R11 + 0x50]
0049a260 PSHUFB XMM3,XMM1
0049a265 PXOR XMM3,XMM2
0049a269 PSHUFB XMM3,XMM5
0049a26e MOVDQA XMM2,xmmword ptr [R11 + 0x60]
0049a274 PSHUFB XMM2,XMM4
0049a279 PXOR XMM2,XMM3
0049a27d MOVDQA XMM3,xmmword ptr [R11 + 0x70]
0049a283 PSHUFB XMM3,XMM1
0049a288 PXOR XMM3,XMM2
0049a28c ADD RDX,-0x10
0049a290 MOVDQA XMM1,xmmword ptr [R8 + R10*0x1]
0049a296 PSHUFB XMM3,XMM1
0049a29b ADD R8,-0x10
0049a29f AND R8,0x30
0049a2a3 MOVDQU xmmword ptr [RDX],XMM3
0049a2a7 RET
