005988d0 ENDBR64
005988d4 PUSH R15
005988d6 MOV R15,RDI
005988d9 PUSH R14
005988db MOV R14,RCX
005988de PUSH R13
005988e0 MOV R13,RDX
005988e3 PUSH R12
005988e5 MOV R12,RSI
005988e8 PUSH RBP
005988e9 CALL 0x004adb00
005988ee MOV RDI,RAX
005988f1 CALL 0x004a84d0
005988f6 TEST RAX,RAX
005988f9 JZ 0x00598940
005988fb MOV RBP,RAX
005988fe MOV RCX,R15
00598901 XOR EDX,EDX
00598903 MOV ESI,0x6a
00598908 MOV RDI,RAX
0059890b CALL 0x004a8cc0
00598910 MOV RSI,R12
00598913 MOV RDI,RBP
00598916 MOV RCX,R14
00598919 MOV RDX,R13
0059891c CALL 0x00598830
00598921 MOV RDI,RBP
00598924 MOV R12,RAX
00598927 CALL 0x004a84e0
0059892c POP RBP
0059892d MOV RAX,R12
00598930 POP R12
00598932 POP R13
00598934 POP R14
00598936 POP R15
00598938 RET
00598940 CALL 0x00511480
00598945 LEA RDX,[0x802350]
0059894c MOV ESI,0x294
00598951 XOR R12D,R12D
00598954 LEA RDI,[0x802334]
0059895b CALL 0x005115a0
00598960 XOR EDX,EDX
00598962 MOV ESI,0x80007
00598967 XOR EAX,EAX
00598969 MOV EDI,0xb
0059896e CALL 0x00511950
00598973 JMP 0x0059892c
