005b4640 ENDBR64
005b4644 PUSH R13
005b4646 MOV R13,RCX
005b4649 PUSH R12
005b464b MOV R12,RDI
005b464e PUSH RBP
005b464f MOV EBP,EDX
005b4651 PUSH RBX
005b4652 SUB RSP,0x8
005b4656 CMP RDI,RSI
005b4659 JZ 0x005b4668
005b465b CALL 0x004b05d0
005b4660 TEST RAX,RAX
005b4663 JZ 0x005b46bf
005b4665 NOP dword ptr [RAX]
005b4668 TEST EBP,EBP
005b466a JLE 0x005b46e8
005b466c MOV RDI,R13
005b466f CALL 0x004aff20
005b4674 MOV RDI,R12
005b4677 MOV EBX,EAX
005b4679 CALL 0x004aff20
005b467e SUB EBX,EAX
005b4680 JS 0x005b4700
005b4682 CMP EBX,EBP
005b4684 CMOVG EBX,EBP
005b4687 TEST EBX,EBX
005b4689 JZ 0x005b46d0
005b468b MOV EDX,EBX
005b468d MOV RSI,R12
005b4690 MOV RDI,R12
005b4693 CALL 0x004b3790
005b4698 TEST EAX,EAX
005b469a JZ 0x005b46bf
005b469c SUB EBP,EBX
005b469e MOV RSI,R13
005b46a1 MOV RDI,R12
005b46a4 CALL 0x004afbb0
005b46a9 TEST EAX,EAX
005b46ab JS 0x005b4668
005b46ad MOV RDX,R13
005b46b0 MOV RSI,R12
005b46b3 MOV RDI,R12
005b46b6 CALL 0x005aea40
005b46bb TEST EAX,EAX
005b46bd JNZ 0x005b4668
005b46bf ADD RSP,0x8
005b46c3 XOR EAX,EAX
005b46c5 POP RBX
005b46c6 POP RBP
005b46c7 POP R12
005b46c9 POP R13
005b46cb RET
005b46d0 MOV RSI,R12
005b46d3 MOV RDI,R12
005b46d6 CALL 0x004b34a0
005b46db TEST EAX,EAX
005b46dd JZ 0x005b46bf
005b46df SUB EBP,0x1
005b46e2 JMP 0x005b469e
005b46e8 ADD RSP,0x8
005b46ec MOV EAX,0x1
005b46f1 POP RBX
005b46f2 POP RBP
005b46f3 POP R12
005b46f5 POP R13
005b46f7 RET
005b4700 CALL 0x00511480
005b4705 LEA RDX,[0x809b60]
005b470c MOV ESI,0x12a
005b4711 LEA RDI,[0x809b40]
005b4718 CALL 0x005115a0
005b471d XOR EAX,EAX
005b471f XOR EDX,EDX
005b4721 MOV ESI,0x6e
005b4726 MOV EDI,0x3
005b472b CALL 0x00511950
005b4730 ADD RSP,0x8
005b4734 XOR EAX,EAX
005b4736 POP RBX
005b4737 POP RBP
005b4738 POP R12
005b473a POP R13
005b473c RET
