005f0fd0 ENDBR64
005f0fd4 PUSH R15
005f0fd6 PUSH R14
005f0fd8 PUSH R13
005f0fda PUSH R12
005f0fdc PUSH RBP
005f0fdd PUSH RBX
005f0fde SUB RSP,0x8
005f0fe2 TEST RDI,RDI
005f0fe5 JZ 0x005f1098
005f0feb MOV RAX,0x934020
005f0ff2 MOV RBP,RDI
005f0ff5 MOV R12D,ESI
005f0ff8 MOV R13,RDX
005f0ffb MOV R14,RCX
005f0ffe MOV RBX,R8
005f1001 MOV RDI,qword ptr [RAX]
005f1004 CALL 0x00420cd0
005f1009 TEST EAX,EAX
005f100b JNZ 0x005f1020
005f100d XOR EAX,EAX
005f100f ADD RSP,0x8
005f1013 POP RBX
005f1014 POP RBP
005f1015 POP R12
005f1017 POP R13
005f1019 POP R14
005f101b POP R15
005f101d RET
005f1020 MOV R15D,dword ptr [RBP + 0x9c]
005f1027 MOV RAX,0x934020
005f102e MOV RDI,qword ptr [RAX]
005f1031 CALL 0x00420cf0
005f1036 MOV RAX,qword ptr [RBP + 0x70]
005f103a TEST R15D,R15D
005f103d JLE 0x005f1140
005f1043 CMP R12D,0xa
005f1047 JZ 0x005f1120
005f104d LEA EDX,[R12 + -0xb]
005f1052 CMP EDX,0x7
005f1055 JA 0x005f10e0
005f105b TEST RAX,RAX
005f105e JZ 0x005f13bc
005f1064 MOV R15D,dword ptr [RBP + 0x98]
005f106b AND R15D,0x2
005f106f JZ 0x005f1178
005f1075 ADD RSP,0x8
005f1079 MOV R8,RBX
005f107c MOV RCX,R14
005f107f MOV RDX,R13
005f1082 POP RBX
005f1083 MOV ESI,R12D
005f1086 MOV RDI,RBP
005f1089 POP RBP
005f108a POP R12
005f108c POP R13
005f108e POP R14
005f1090 POP R15
005f1092 JMP RAX
005f1098 CALL 0x00511480
005f109d LEA RDX,[0x80fb20]
005f10a4 MOV ESI,0x84
005f10a9 LEA RDI,[0x80fa77]
005f10b0 CALL 0x005115a0
005f10b5 XOR EAX,EAX
005f10b7 XOR EDX,EDX
005f10b9 MOV ESI,0xc0102
005f10be MOV EDI,0x26
005f10c3 CALL 0x00511950
005f10c8 ADD RSP,0x8
005f10cc XOR EAX,EAX
005f10ce POP RBX
005f10cf POP RBP
005f10d0 POP R12
005f10d2 POP R13
005f10d4 POP R14
005f10d6 POP R15
005f10d8 RET
005f10e0 TEST RAX,RAX
005f10e3 JNZ 0x005f1075
005f10e5 CALL 0x00511480
005f10ea LEA RDX,[0x80fb20]
005f10f1 MOV ESI,0xaf
005f10f6 LEA RDI,[0x80fa77]
005f10fd CALL 0x005115a0
005f1102 XOR EAX,EAX
005f1104 XOR EDX,EDX
005f1106 MOV ESI,0x78
005f110b MOV EDI,0x26
005f1110 CALL 0x00511950
005f1115 XOR EAX,EAX
005f1117 JMP 0x005f100f
005f1120 TEST RAX,RAX
005f1123 SETNZ AL
005f1126 ADD RSP,0x8
005f112a POP RBX
005f112b MOVZX EAX,AL
005f112e POP RBP
005f112f POP R12
005f1131 POP R13
005f1133 POP R14
005f1135 POP R15
005f1137 RET
005f1140 CALL 0x00511480
005f1145 LEA RDX,[0x80fb20]
005f114c MOV ESI,0x8d
005f1151 LEA RDI,[0x80fa77]
005f1158 CALL 0x005115a0
005f115d XOR EDX,EDX
005f115f MOV ESI,0x82
005f1164 XOR EAX,EAX
005f1166 MOV EDI,0x26
005f116b CALL 0x00511950
005f1170 JMP 0x005f100d
005f1178 CMP R12D,0xb
005f117c JZ 0x005f1375
005f1182 MOV EAX,R12D
005f1185 AND EAX,0xfffffffd
005f1188 CMP EAX,0xd
005f118b JZ 0x005f1197
005f118d CMP R12D,0x11
005f1191 JNZ 0x005f1220
005f1197 TEST R14,R14
005f119a JZ 0x005f13f4
005f11a0 CMP R12D,0xd
005f11a4 JNZ 0x005f1220
005f11a6 MOV RBP,qword ptr [RBP + 0x90]
005f11ad TEST RBP,RBP
005f11b0 JZ 0x005f11e4
005f11b2 MOV EDX,dword ptr [RBP]
005f11b5 MOV RBX,RBP
005f11b8 TEST EDX,EDX
005f11ba JZ 0x005f11e4
005f11bc MOV RDI,qword ptr [RBX + 0x8]
005f11c0 TEST RDI,RDI
005f11c3 JZ 0x005f11e4
005f11c5 MOV RSI,R14
005f11c8 CALL 0x004011f0
005f11cd TEST EAX,EAX
005f11cf JZ 0x005f139f
005f11d5 MOV EAX,dword ptr [RBX + 0x20]
005f11d8 ADD RBX,0x20
005f11dc ADD R15D,0x1
005f11e0 TEST EAX,EAX
005f11e2 JNZ 0x005f11bc
005f11e4 CALL 0x00511480
005f11e9 LEA RDX,[0x80fb10]
005f11f0 MOV ESI,0x5a
005f11f5 LEA RDI,[0x80fa77]
005f11fc CALL 0x005115a0
005f1201 XOR EAX,EAX
005f1203 XOR EDX,EDX
005f1205 MOV ESI,0x89
005f120a MOV EDI,0x26
005f120f CALL 0x00511950
005f1214 OR EAX,0xffffffff
005f1217 JMP 0x005f100f
005f1220 MOV RAX,qword ptr [RBP + 0x90]
005f1227 TEST RAX,RAX
005f122a JZ 0x005f1252
005f122c MOV EDX,dword ptr [RAX]
005f122e MOV ESI,R13D
005f1231 MOV RCX,RAX
005f1234 TEST EDX,EDX
005f1236 JZ 0x005f1290
005f1238 CMP qword ptr [RCX + 0x8],0x0
005f123d JZ 0x005f1290
005f123f CMP ESI,EDX
005f1241 JBE 0x005f1290
005f1243 MOV EDX,dword ptr [RCX + 0x20]
005f1246 ADD RCX,0x20
005f124a ADD R15D,0x1
005f124e TEST EDX,EDX
005f1250 JNZ 0x005f1238
005f1252 CALL 0x00511480
005f1257 LEA RDX,[0x80fb10]
005f125e MOV ESI,0x65
005f1263 LEA RDI,[0x80fa77]
005f126a CALL 0x005115a0
005f126f XOR EAX,EAX
005f1271 XOR EDX,EDX
005f1273 MOV ESI,0x8a
005f1278 MOV EDI,0x26
005f127d CALL 0x00511950
005f1282 OR EAX,0xffffffff
005f1285 JMP 0x005f100f
005f1290 CMP R13D,EDX
005f1293 JNZ 0x005f1252
005f1295 MOVSXD R15,R15D
005f1298 SUB R12D,0xc
005f129c SHL R15,0x5
005f12a0 LEA RDX,[RAX + R15*0x1]
005f12a4 CMP R12D,0x6
005f12a8 JA 0x005f133d
005f12ae LEA RCX,[0x80faa0]
005f12b5 MOVSXD RAX,dword ptr [RCX + R12*0x4]
005f12b9 ADD RAX,RCX
005f12bc JMP RAX
005f12bf MOV EAX,dword ptr [RDX + 0x18]
005f12c2 JMP 0x005f100f
005f12c7 MOV RSI,qword ptr [RDX + 0x10]
005f12cb TEST RSI,RSI
005f12ce JZ 0x005f13b0
005f12d4 MOV RDI,R14
005f12d7 CALL 0x00401260
005f12dc MOV RDI,R14
005f12df CALL 0x004010a0
005f12e4 JMP 0x005f100f
005f12e9 MOV RDI,qword ptr [RDX + 0x10]
005f12ed TEST RDI,RDI
005f12f0 JNZ 0x005f12df
005f12f2 LEA RDI,[0x8343a2]
005f12f9 JMP 0x005f12df
005f12fb MOV RSI,qword ptr [RDX + 0x8]
005f12ff MOV RDI,R14
005f1302 CALL 0x00401260
005f1307 MOV RDI,R14
005f130a CALL 0x004010a0
005f130f JMP 0x005f100f
005f1314 MOV RDI,qword ptr [RDX + 0x8]
005f1318 CALL 0x004010a0
005f131d JMP 0x005f100f
005f1322 MOV EAX,dword ptr [RDX + 0x20]
005f1325 TEST EAX,EAX
005f1327 JZ 0x005f100d
005f132d CMP qword ptr [RDX + 0x28],0x0
005f1332 JNZ 0x005f100f
005f1338 JMP 0x005f100d
005f133d CALL 0x00511480
005f1342 LEA RDX,[0x80fb10]
005f1349 MOV ESI,0x7c
005f134e LEA RDI,[0x80fa77]
005f1355 CALL 0x005115a0
005f135a XOR EAX,EAX
005f135c XOR EDX,EDX
005f135e MOV ESI,0x6e
005f1363 MOV EDI,0x26
005f1368 CALL 0x00511950
005f136d OR EAX,0xffffffff
005f1370 JMP 0x005f100f
005f1375 MOV RDX,qword ptr [RBP + 0x90]
005f137c TEST RDX,RDX
005f137f JZ 0x005f100d
005f1385 MOV EAX,dword ptr [RDX]
005f1387 TEST EAX,EAX
005f1389 JZ 0x005f100d
005f138f CMP qword ptr [RDX + 0x8],0x0
005f1394 JNZ 0x005f100f
005f139a JMP 0x005f100d
005f139f MOVSXD R15,R15D
005f13a2 SHL R15,0x5
005f13a6 MOV EAX,dword ptr [RBP + R15*0x1]
005f13ab JMP 0x005f100f
005f13b0 LEA RSI,[0x8343a2]
005f13b7 JMP 0x005f12d4
005f13bc CALL 0x00511480
005f13c1 LEA RDX,[0x80fb20]
005f13c8 MOV ESI,0xa2
005f13cd LEA RDI,[0x80fa77]
005f13d4 CALL 0x005115a0
005f13d9 XOR EAX,EAX
005f13db XOR EDX,EDX
005f13dd MOV ESI,0x78
005f13e2 MOV EDI,0x26
