005a8e40 ENDBR64
005a8e44 PUSH R15
005a8e46 PUSH R14
005a8e48 MOV R14,RDI
005a8e4b PUSH R13
005a8e4d PUSH R12
005a8e4f PUSH RBP
005a8e50 PUSH RBX
005a8e51 SUB RSP,0x18
005a8e55 MOV dword ptr [RSP + 0xc],ECX
005a8e59 TEST RDX,RDX
005a8e5c JZ 0x005a8f10
005a8e62 MOV RBP,RSI
005a8e65 MOV RBX,RDX
005a8e68 XOR R15D,R15D
005a8e6b MOV R13,-0x1111111111111111
005a8e75 MOV R12,0x1111111111111111
005a8e7f JMP 0x005a8e91
005a8e88 ADD R15,0x1
005a8e8c CMP RBX,R15
005a8e8f JZ 0x005a8f10
005a8e91 MOV RAX,R15
005a8e94 IMUL RAX,R13
005a8e98 CMP RAX,R12
005a8e9b JA 0x005a8eca
005a8e9d TEST R15,R15
005a8ea0 JZ 0x005a8eb5
005a8ea2 LEA RSI,[0x81a1ca]
005a8ea9 MOV RDI,R14
005a8eac CALL 0x004a87f0
005a8eb1 TEST EAX,EAX
005a8eb3 JLE 0x005a8efe
005a8eb5 MOV ESI,dword ptr [RSP + 0xc]
005a8eb9 MOV EDX,0x80
005a8ebe MOV RDI,R14
005a8ec1 CALL 0x004a8c60
005a8ec6 TEST EAX,EAX
005a8ec8 JZ 0x005a8efe
005a8eca LEA RAX,[RBX + -0x1]
005a8ece MOVZX EDX,byte ptr [RBP + R15*0x1]
005a8ed4 MOV RDI,R14
005a8ed7 LEA RCX,[0x7d9974]
005a8ede CMP RAX,R15
005a8ee1 LEA RAX,[0x8343a2]
005a8ee8 LEA RSI,[0x7d98a9]
005a8eef CMOVZ RCX,RAX
005a8ef3 XOR EAX,EAX
005a8ef5 CALL 0x004ab960
005a8efa TEST EAX,EAX
005a8efc JG 0x005a8e88
005a8efe ADD RSP,0x18
005a8f02 XOR EAX,EAX
005a8f04 POP RBX
005a8f05 POP RBP
005a8f06 POP R12
005a8f08 POP R13
005a8f0a POP R14
005a8f0c POP R15
005a8f0e RET
005a8f10 MOV RDI,R14
005a8f13 MOV EDX,0x1
005a8f18 LEA RSI,[0x81a1ca]
005a8f1f CALL 0x004a8760
005a8f24 TEST EAX,EAX
005a8f26 SETG AL
005a8f29 ADD RSP,0x18
005a8f2d POP RBX
005a8f2e MOVZX EAX,AL
005a8f31 POP RBP
005a8f32 POP R12
005a8f34 POP R13
005a8f36 POP R14
005a8f38 POP R15
005a8f3a RET
