00478f00 ENDBR64
00478f04 PUSH RBP
00478f05 MOV RBP,RSI
00478f08 LEA RSI,[0x8354aa]
00478f0f PUSH RBX
00478f10 MOV RBX,RDI
00478f13 MOV RDI,RBP
00478f16 SUB RSP,0x8
00478f1a CALL 0x0041b7e0
00478f1f TEST RAX,RAX
00478f22 JZ 0x00478f33
00478f24 MOV ESI,dword ptr [RBX + 0x8]
00478f27 MOV RDI,RAX
00478f2a CALL 0x0041bc10
00478f2f TEST EAX,EAX
00478f31 JZ 0x00478f90
00478f33 MOV RDI,RBP
00478f36 LEA RSI,[0x7fd35f]
00478f3d CALL 0x0041b7e0
00478f42 MOV RDI,RAX
00478f45 TEST RAX,RAX
00478f48 JZ 0x00478f58
00478f4a MOV ESI,0x400
00478f4f CALL 0x0041bc10
00478f54 TEST EAX,EAX
00478f56 JZ 0x00478f90
00478f58 MOV RDI,RBP
00478f5b LEA RSI,[0x7daf81]
00478f62 CALL 0x0041b7e0
00478f67 MOV RDI,RAX
00478f6a MOV EAX,0x1
00478f6f TEST RDI,RDI
00478f72 JZ 0x00478f86
00478f74 MOV ESI,0x80
00478f79 CALL 0x0041c5a0
00478f7e TEST EAX,EAX
00478f80 SETNZ AL
00478f83 MOVZX EAX,AL
00478f86 ADD RSP,0x8
00478f8a POP RBX
00478f8b POP RBP
00478f8c RET
00478f90 ADD RSP,0x8
00478f94 XOR EAX,EAX
00478f96 POP RBX
00478f97 POP RBP
00478f98 RET
