004257a0 ENDBR64
004257a4 PUSH RBX
004257a5 PUSH RBP
004257a6 PUSH R12
004257a8 PUSH R13
004257aa PUSH R14
004257ac PUSH R15
004257ae SUB RSP,0x118
004257b5 MOV R14,RDX
004257b8 MOV R15,RCX
004257bb SUB RSI,-0x80
004257bf LEA RBP,[RSP + 0x90]
004257c7 XOR EDX,EDX
004257c9 MOV R8,qword ptr [RSI + -0x80]
004257cd MOV RAX,qword ptr [RSI + -0x78]
004257d1 MOV DL,AL
004257d3 SHR RAX,0x4
004257d7 MOV R10,R8
004257da SHR R8,0x4
004257de MOV R9,qword ptr [RSI + -0x70]
004257e2 SHL DL,0x4
004257e5 MOV RBX,qword ptr [RSI + -0x68]
004257e9 SHL R10,0x3c
004257ed MOV byte ptr [RSP],DL
004257f0 OR RAX,R10
004257f3 MOV DL,BL
004257f5 SHR RBX,0x4
004257f9 MOV R10,R9
004257fc SHR R9,0x4
00425800 MOV qword ptr [RBP],R8
00425804 MOV R8,qword ptr [RSI + -0x60]
00425808 SHL DL,0x4
0042580b MOV qword ptr [RBP + -0x80],RAX
0042580f MOV RAX,qword ptr [RSI + -0x58]
00425813 SHL R10,0x3c
00425817 MOV byte ptr [RSP + 0x1],DL
0042581b OR RBX,R10
0042581e MOV DL,AL
00425820 SHR RAX,0x4
00425824 MOV R10,R8
00425827 SHR R8,0x4
0042582b MOV qword ptr [RBP + 0x8],R9
0042582f MOV R9,qword ptr [RSI + -0x50]
00425833 SHL DL,0x4
00425836 MOV qword ptr [RBP + -0x78],RBX
0042583a MOV RBX,qword ptr [RSI + -0x48]
0042583e SHL R10,0x3c
00425842 MOV byte ptr [RSP + 0x2],DL
00425846 OR RAX,R10
00425849 MOV DL,BL
0042584b SHR RBX,0x4
0042584f MOV R10,R9
00425852 SHR R9,0x4
00425856 MOV qword ptr [RBP + 0x10],R8
0042585a MOV R8,qword ptr [RSI + -0x40]
0042585e SHL DL,0x4
00425861 MOV qword ptr [RBP + -0x70],RAX
00425865 MOV RAX,qword ptr [RSI + -0x38]
