004b3790 ENDBR64
004b3794 PUSH R12
004b3796 PUSH RBP
004b3797 SUB RSP,0x8
004b379b TEST EDX,EDX
004b379d JS 0x004b37c0
004b379f MOV RBP,RDI
004b37a2 CALL 0x004b3650
004b37a7 MOV RDI,RBP
004b37aa MOV R12D,EAX
004b37ad CALL 0x004b0800
004b37b2 ADD RSP,0x8
004b37b6 MOV EAX,R12D
004b37b9 POP RBP
004b37ba POP R12
004b37bc RET
004b37c0 CALL 0x00511480
004b37c5 LEA RDX,[0x7ded68]
004b37cc MOV ESI,0x56
004b37d1 XOR R12D,R12D
004b37d4 LEA RDI,[0x7ded3c]
004b37db CALL 0x005115a0
004b37e0 XOR EAX,EAX
004b37e2 XOR EDX,EDX
004b37e4 MOV ESI,0x77
004b37e9 MOV EDI,0x3
004b37ee CALL 0x00511950
004b37f3 ADD RSP,0x8
004b37f7 MOV EAX,R12D
004b37fa POP RBP
004b37fb POP R12
004b37fd RET
