005ee2a0 XOR R11,R11
005ee2a3 ADC R12,R12
005ee2a6 ADC R13,R13
005ee2a9 MOV RAX,R12
005ee2ac ADC R8,R8
005ee2af ADC R9,R9
005ee2b2 MOV RBP,R13
005ee2b5 ADC R11,0x0
005ee2b9 XOR R10,R10
005ee2bc SBB R12,-0x1
005ee2c0 MOV RCX,R8
005ee2c3 SBB R13,R14
005ee2c6 SBB R8,0x0
005ee2ca MOV R10,R9
005ee2cd SBB R9,R15
005ee2d0 SBB R11,0x0
005ee2d4 CMOVC R12,RAX
005ee2d8 CMOVC R13,RBP
005ee2dc MOV qword ptr [RDI],R12
005ee2df CMOVC R8,RCX
005ee2e3 MOV qword ptr [RDI + 0x8],R13
005ee2e7 CMOVC R9,R10
005ee2eb MOV qword ptr [RDI + 0x10],R8
005ee2ef MOV qword ptr [RDI + 0x18],R9
005ee2f3 RET
