0053fca0 ENDBR64
0053fca4 PUSH R15
0053fca6 MOV R15,R9
0053fca9 PUSH R14
0053fcab MOV R14,RCX
0053fcae PUSH R13
0053fcb0 MOV R13,RSI
0053fcb3 PUSH R12
0053fcb5 MOV R12,RDI
0053fcb8 PUSH RBP
0053fcb9 PUSH RBX
0053fcba MOV RBX,R8
0053fcbd SUB RSP,0x18
0053fcc1 MOV qword ptr [RSP + 0x8],RDX
0053fcc6 CALL 0x004adb00
0053fccb MOV RDI,RAX
0053fcce CALL 0x004a84d0
0053fcd3 MOV RDX,qword ptr [RSP + 0x8]
0053fcd8 TEST RAX,RAX
0053fcdb JZ 0x0053fd30
0053fcdd MOV RBP,RAX
0053fce0 MOV RCX,RDX
0053fce3 MOV ESI,0x6a
0053fce8 XOR EDX,EDX
0053fcea MOV RDI,RAX
0053fced CALL 0x004a8cc0
0053fcf2 MOV RDI,R12
0053fcf5 MOV R9,R15
0053fcf8 MOV R8,RBX
0053fcfb MOV RCX,R14
0053fcfe MOV RDX,RBP
0053fd01 MOV RSI,R13
0053fd04 CALL 0x00542070
0053fd09 MOV RDI,RBP
0053fd0c MOV R12,RAX
0053fd0f CALL 0x004a84e0
0053fd14 ADD RSP,0x18
0053fd18 MOV RAX,R12
0053fd1b POP RBX
0053fd1c POP RBP
0053fd1d POP R12
0053fd1f POP R13
0053fd21 POP R14
0053fd23 POP R15
0053fd25 RET
0053fd30 CALL 0x00511480
0053fd35 LEA RDX,[0x7fba18]
0053fd3c MOV ESI,0x74
0053fd41 XOR R12D,R12D
0053fd44 LEA RDI,[0x7fb848]
0053fd4b CALL 0x005115a0
0053fd50 XOR EDX,EDX
0053fd52 MOV ESI,0x80007
0053fd57 XOR EAX,EAX
0053fd59 MOV EDI,0x9
0053fd5e CALL 0x00511950
0053fd63 JMP 0x0053fd14
