00477c20 ENDBR64
00477c24 PUSH R15
00477c26 MOV R15,R9
00477c29 PUSH R14
00477c2b MOV R14,RCX
00477c2e PUSH R13
00477c30 MOV R13D,EDX
00477c33 PUSH R12
00477c35 MOV R12D,ESI
00477c38 PUSH RBP
00477c39 MOV RBP,RDI
00477c3c PUSH RBX
00477c3d MOV RBX,R8
00477c40 SUB RSP,0x8
00477c44 CALL 0x004394e0
00477c49 TEST EAX,EAX
00477c4b JNZ 0x00477c60
00477c4d ADD RSP,0x8
00477c51 XOR EAX,EAX
00477c53 POP RBX
00477c54 POP RBP
00477c55 POP R12
00477c57 POP R13
00477c59 POP R14
00477c5b POP R15
00477c5d RET
00477c60 MOV RSI,R15
00477c63 MOV RDI,RBP
00477c66 CALL 0x00477a90
00477c6b TEST EAX,EAX
00477c6d JZ 0x00477c4d
00477c6f ADD RSP,0x8
00477c73 MOV R8,RBX
00477c76 MOV RCX,R14
00477c79 MOV EDX,R13D
00477c7c POP RBX
00477c7d MOV ESI,R12D
00477c80 MOV RDI,RBP
00477c83 POP RBP
00477c84 POP R12
00477c86 POP R13
00477c88 POP R14
00477c8a POP R15
00477c8c JMP 0x0059f670
