0044c0e0 PUSH R15
0044c0e2 PUSH R14
0044c0e4 PUSH R13
0044c0e6 PUSH R12
0044c0e8 PUSH RBP
0044c0e9 PUSH RBX
0044c0ea SUB RSP,0x1c8
0044c0f1 MOVDQU XMM2,xmmword ptr [RDI]
0044c0f5 MOVDQU XMM4,xmmword ptr [RDI + 0x10]
0044c0fa MOV qword ptr [RSP + 0x50],RDI
0044c0ff MOVDQU XMM6,xmmword ptr [RDI + 0x20]
0044c104 MOV qword ptr [RSP + 0x88],RDX
0044c10c MOV RAX,qword ptr FS:[0x28]
0044c115 MOV qword ptr [RSP + 0x1b8],RAX
0044c11d MOV EAX,0x80
0044c122 MOVAPS xmmword ptr [RSP + 0x130],XMM2
0044c12a MOVDQU XMM2,xmmword ptr [RDI + 0x30]
0044c12f MOVAPS xmmword ptr [RSP + 0x140],XMM4
0044c137 MOVAPS xmmword ptr [RSP + 0x150],XMM6
0044c13f MOVAPS xmmword ptr [RSP],XMM2
0044c143 MOVAPS xmmword ptr [RSP + 0x160],XMM2
0044c14b CMP RDX,RAX
0044c14e CMOVBE RAX,RDX
0044c152 MOV qword ptr [RSP + 0x68],RAX
0044c157 MOV RAX,qword ptr [RDI + 0x50]
0044c15b MOV qword ptr [RSP + 0x78],RAX
0044c160 MOV RAX,qword ptr [RDI + 0x58]
0044c164 MOV qword ptr [RSP + 0x80],RAX
0044c16c MOV RAX,qword ptr [RDI + 0x48]
0044c170 MOV qword ptr [RSP + 0x48],RAX
0044c175 MOV RAX,qword ptr [RDI + 0x40]
0044c179 LEA RDI,[RSP + 0xb0]
0044c181 MOV qword ptr [RSP + 0x98],RDI
0044c189 LEA RDI,[RSP + 0x130]
0044c191 MOV qword ptr [RSP + 0xa0],RDI
0044c199 SUB RSI,RAX
0044c19c LEA RDI,[RSP + 0x170]
0044c1a4 MOV qword ptr [RSP + 0x60],RAX
0044c1a9 MOV qword ptr [RSP + 0xa8],RDI
0044c1b1 MOV qword ptr [RSP + 0x90],RSI
0044c1b9 NOP dword ptr [RAX]
0044c1c0 MOV R11,qword ptr [RSP + 0x60]
0044c1c5 MOV RAX,qword ptr [RSP + 0x90]
0044c1cd MOV R12,0x1f83d9abfb41bd6b
