0053fa80 ENDBR64
0053fa84 PUSH R13
0053fa86 MOV R13,RDI
0053fa89 PUSH R12
0053fa8b PUSH RBP
0053fa8c PUSH RBX
0053fa8d MOV EBX,ESI
0053fa8f SUB RSP,0x8
0053fa93 TEST RCX,RCX
0053fa96 JZ 0x0053fad0
0053fa98 MOV RDI,RCX
0053fa9b MOV RBP,RCX
0053fa9e CALL 0x004010a0
0053faa3 MOV RSI,RBP
0053faa6 MOV RDI,R13
0053faa9 CMP EBX,EAX
0053faab CMOVLE EAX,EBX
0053faae MOVSXD RDX,EAX
0053fab1 MOV R12,RDX
0053fab4 CALL 0x00401030
0053fab9 ADD RSP,0x8
0053fabd MOV EAX,R12D
0053fac0 POP RBX
0053fac1 POP RBP
0053fac2 POP R12
0053fac4 POP R13
0053fac6 RET
0053fad0 MOV R12D,EDX
0053fad3 CALL 0x005f40e0
0053fad8 MOV R8D,R12D
0053fadb MOV EDX,EBX
0053fadd MOV RDI,R13
0053fae0 TEST RAX,RAX
0053fae3 MOV RCX,RAX
0053fae6 LEA RAX,[0x7fb831]
0053faed CMOVZ RCX,RAX
0053faf1 XOR ESI,ESI
0053faf3 TEST R12D,R12D
0053faf6 SETNZ SIL
0053fafa SHL ESI,0x2
0053fafd CALL 0x005f4100
0053fb02 TEST EAX,EAX
0053fb04 JNZ 0x0053fb1f
0053fb06 MOV RDI,R13
0053fb09 CALL 0x004010a0
0053fb0e ADD RSP,0x8
0053fb12 MOV R12D,EAX
0053fb15 POP RBX
0053fb16 POP RBP
0053fb17 MOV EAX,R12D
0053fb1a POP R12
0053fb1c POP R13
0053fb1e RET
0053fb1f CALL 0x00511480
0053fb24 MOV ESI,0x3e
0053fb29 LEA RDX,[0x7fba30]
0053fb30 LEA RDI,[0x7fb848]
0053fb37 CALL 0x005115a0
0053fb3c XOR EDX,EDX
0053fb3e MOV ESI,0x6d
0053fb43 XOR EAX,EAX
0053fb45 MOV EDI,0x9
0053fb4a MOV R12D,0xffffffff
0053fb50 CALL 0x00511950
0053fb55 MOV EDX,EBX
0053fb57 XOR ESI,ESI
0053fb59 MOV RDI,R13
0053fb5c CALL 0x00401140
0053fb61 JMP 0x0053fab9
