00469560 ENDBR64
00469564 PUSH R12
00469566 XOR R12D,R12D
00469569 PUSH RBP
0046956a PUSH RBX
0046956b MOV RBX,RDI
0046956e CALL 0x004394e0
00469573 TEST EAX,EAX
00469575 JZ 0x0046959c
00469577 LEA RBP,[0x7da3d8]
0046957e MOV EDX,0x124
00469583 MOV EDI,0x60
00469588 MOV RSI,RBP
0046958b CALL 0x004198d0
00469590 MOV R12,RAX
00469593 TEST RAX,RAX
00469596 JZ 0x004695a8
00469598 MOV qword ptr [R12],RBX
0046959c MOV RAX,R12
0046959f POP RBX
004695a0 POP RBP
004695a1 POP R12
004695a3 RET
004695a8 CALL 0x00511480
004695ad MOV RDI,RBP
004695b0 MOV ESI,0x125
004695b5 LEA RDX,[0x7da418]
004695bc CALL 0x005115a0
004695c1 XOR EDX,EDX
004695c3 MOV ESI,0xc0100
004695c8 XOR EAX,EAX
004695ca MOV EDI,0x39
004695cf CALL 0x00511950
004695d4 JMP 0x00469598
