00530240 ENDBR64
00530244 PUSH R15
00530246 MOV R15,RCX
00530249 PUSH R14
0053024b MOV R14D,EDX
0053024e PUSH R13
00530250 MOV R13,RSI
00530253 XOR ESI,ESI
00530255 PUSH R12
00530257 XOR R12D,R12D
0053025a PUSH RBP
0053025b CALL 0x004adc50
00530260 TEST RAX,RAX
00530263 JZ 0x00530284
00530265 MOV RBP,RAX
00530268 MOV RDI,RAX
0053026b MOV RCX,R15
0053026e MOV EDX,R14D
00530271 MOV RSI,R13
00530274 CALL 0x005301b0
00530279 MOV RDI,RBP
0053027c MOV R12D,EAX
0053027f CALL 0x004a84e0
00530284 POP RBP
00530285 MOV EAX,R12D
00530288 POP R12
0053028a POP R13
0053028c POP R14
0053028e POP R15
00530290 RET
