004a96b0 ENDBR64
004a96b4 PUSH R15
004a96b6 PUSH R14
004a96b8 MOV R14D,EDX
004a96bb PUSH R13
004a96bd XOR R13D,R13D
004a96c0 PUSH R12
004a96c2 MOV R12D,ESI
004a96c5 PUSH RBP
004a96c6 MOV RBP,RDI
004a96c9 PUSH RBX
004a96ca SUB RSP,0x18
004a96ce TEST ESI,ESI
004a96d0 JLE 0x004a96df
004a96d2 XOR EDI,EDI
004a96d4 MOVSXD R13,R12D
004a96d7 CALL 0x00756da0
004a96dc ADD R13,RAX
004a96df TEST RBP,RBP
004a96e2 JZ 0x004a9876
004a96e8 TEST R14D,R14D
004a96eb MOV EAX,0x64
004a96f0 MOV ESI,0x66
004a96f5 MOV RDI,RBP
004a96f8 CMOVS R14D,EAX
004a96fc XOR EDX,EDX
004a96fe TEST R12D,R12D
004a9701 NOT R12D
004a9704 SETG DL
004a9707 XOR ECX,ECX
004a9709 SHR R12D,0x1f
004a970d CALL 0x004a8cc0
004a9712 NOP word ptr [RAX + RAX*0x1]
004a9718 CALL 0x00511060
004a971d XOR ECX,ECX
004a971f XOR EDX,EDX
004a9721 MOV ESI,0x65
004a9726 MOV RDI,RBP
004a9729 CALL 0x004a8cc0
004a972e MOV EBX,EAX
004a9730 TEST EAX,EAX
004a9732 JG 0x004a9860
004a9738 CALL 0x00510a50
004a973d MOV ESI,0x8
004a9742 MOV RDI,RBP
004a9745 MOV dword ptr [RSP + 0xc],EAX
004a9749 MOV RBX,RAX
004a974c MOVSXD R15,EAX
004a974f TEST EAX,EAX
004a9751 JS 0x004a97d0
004a9753 CALL 0x004a8650
004a9758 MOV RDX,R15
004a975b SHR RDX,0x17
004a975f CMP DL,0x20
004a9762 JZ 0x004a9828
004a9768 TEST EAX,EAX
004a976a SETNZ AL
004a976d TEST R12B,R12B
004a9770 JZ 0x004a97e0
004a9772 TEST AL,AL
004a9774 JZ 0x004a97e0
004a9776 CALL 0x005110b0
004a977b TEST R13,R13
004a977e JZ 0x004a9718
004a9780 MOV EDX,R14D
004a9783 MOV RSI,R13
004a9786 MOV RDI,RBP
004a9789 CALL 0x004a8ff0
004a978e MOV EBX,EAX
004a9790 TEST EAX,EAX
004a9792 JG 0x004a9718
004a9794 CALL 0x00511480
004a9799 LEA RDX,[0x7de160]
004a97a0 MOV ESI,0x3b7
004a97a5 LEA RDI,[0x7de143]
004a97ac CALL 0x005115a0
004a97b1 CMP EBX,0x1
004a97b4 MOV EDI,0x20
004a97b9 SBB ESI,ESI
004a97bb XOR EDX,EDX
004a97bd XOR EAX,EAX
004a97bf AND ESI,0x2c
004a97c2 ADD ESI,0x67
004a97c5 CALL 0x00511950
004a97ca JMP 0x004a9865
004a97d0 CALL 0x004a8650
004a97d5 TEST EAX,EAX
004a97d7 SETNZ AL
004a97da TEST R12B,R12B
004a97dd JNZ 0x004a9772
004a97df NOP
004a97e0 CALL 0x00511200
004a97e5 MOV EAX,dword ptr [RSP + 0xc]
004a97e9 MOV EBX,0xffffffff
004a97ee TEST EAX,EAX
004a97f0 JNZ 0x004a9865
004a97f2 CALL 0x00511480
004a97f7 LEA RDX,[0x7de160]
004a97fe MOV ESI,0x3be
004a9803 LEA RDI,[0x7de143]
004a980a CALL 0x005115a0
004a980f XOR EDX,EDX
004a9811 MOV ESI,0x67
004a9816 XOR EAX,EAX
004a9818 MOV EDI,0x20
004a981d CALL 0x00511950
004a9822 JMP 0x004a9865
004a9828 AND EBX,0x7fffff
004a982e CMP EBX,0x6e
004a9831 JZ 0x004a9844
004a9833 CMP EBX,0x80002
004a9839 JZ 0x004a9844
004a983b CMP EBX,0x67
004a983e JNZ 0x004a9768
004a9844 XOR ECX,ECX
004a9846 XOR EDX,EDX
004a9848 MOV ESI,0x1
004a984d MOV RDI,RBP
004a9850 CALL 0x004a8cc0
004a9855 MOV EAX,0x1
004a985a JMP 0x004a976d
004a9860 CALL 0x00511200
004a9865 ADD RSP,0x18
004a9869 MOV EAX,EBX
004a986b POP RBX
004a986c POP RBP
004a986d POP R12
004a986f POP R13
004a9871 POP R14
004a9873 POP R15
004a9875 RET
004a9876 CALL 0x00511480
004a987b MOV ESI,0x38d
004a9880 MOV EBX,0xffffffff
004a9885 LEA RDX,[0x7de160]
004a988c LEA RDI,[0x7de143]
004a9893 CALL 0x005115a0
004a9898 XOR EDX,EDX
004a989a MOV ESI,0xc0102
004a989f XOR EAX,EAX
004a98a1 MOV EDI,0x20
004a98a6 CALL 0x00511950
004a98ab JMP 0x004a9865
