0044a360 ENDBR64
0044a364 PUSH R12
0044a366 XOR R12D,R12D
0044a369 PUSH RBX
0044a36a MOV RBX,RDI
0044a36d SUB RSP,0x8
0044a371 CALL 0x004394e0
0044a376 TEST EAX,EAX
0044a378 JZ 0x0044a3c6
0044a37a MOV EDX,0x34
0044a37f LEA RSI,[0x7d77d8]
0044a386 MOV EDI,0x140
0044a38b CALL 0x004198d0
0044a390 MOV R12,RAX
0044a393 TEST RAX,RAX
0044a396 JZ 0x0044a3c6
0044a398 MOV EDI,0x80
0044a39d CALL 0x0044a510
0044a3a2 PUSH RBX
0044a3a3 MOV EDX,0x8
0044a3a8 XOR R9D,R9D
0044a3ab PUSH RAX
0044a3ac MOV R8D,0x4
0044a3b2 MOV ECX,0x80
0044a3b7 MOV RDI,R12
0044a3ba MOV ESI,0x80
0044a3bf CALL 0x00484610
0044a3c4 POP RAX
0044a3c5 POP RDX
0044a3c6 ADD RSP,0x8
0044a3ca MOV RAX,R12
0044a3cd POP RBX
0044a3ce POP R12
0044a3d0 RET
