007787f0 ENDBR64
007787f4 PUSH R15
007787f6 MOV R15,R9
007787f9 PUSH R14
007787fb MOV R14,R8
007787fe PUSH R13
00778800 MOV R13,RCX
00778803 PUSH R12
00778805 MOV R12,RSI
00778808 PUSH RBP
00778809 MOV RBP,RDI
0077880c PUSH RBX
0077880d MOV RBX,RDX
00778810 SUB RSP,0x8
00778814 CALL 0x004010a0
00778819 PUSH R15
0077881b MOV R9,R13
0077881e MOV R8,RBX
00778821 PUSH R14
00778823 MOV RDX,R12
00778826 MOV RDI,RBP
00778829 MOV RSI,RAX
0077882c MOV ECX,0x10
00778831 CALL 0x00777e80
00778836 ADD RSP,0x18
0077883a POP RBX
0077883b POP RBP
0077883c POP R12
0077883e POP R13
00778840 POP R14
00778842 POP R15
00778844 RET
