004b8be0 XOR R9D,dword ptr [R14]
004b8be3 XOR R8D,dword ptr [R14 + 0x4]
004b8be7 XOR R11D,dword ptr [R14 + 0x8]
004b8beb XOR R10D,dword ptr [R14 + 0xc]
004b8bef NOP
004b8bf0 MOV EBX,dword ptr [R14 + 0x10]
004b8bf4 MOV EAX,dword ptr [R14 + 0x14]
004b8bf8 XOR EAX,R8D
004b8bfb XOR EBX,R9D
004b8bfe MOVZX ESI,AH
004b8c01 MOVZX EDI,BL
004b8c04 MOV EDX,dword ptr [RBP + RSI*0x8 + 0x804]
004b8c0b MOV ECX,dword ptr [RBP + RDI*0x8]
004b8c0f MOVZX ESI,AL
004b8c12 SHR EAX,0x10
004b8c15 MOVZX EDI,BH
004b8c18 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x4]
004b8c1c SHR EBX,0x10
004b8c1f XOR ECX,dword ptr [RBP + RDI*0x8 + 0x4]
004b8c23 MOVZX ESI,AH
004b8c26 MOVZX EDI,BL
004b8c29 XOR EDX,dword ptr [RBP + RSI*0x8]
004b8c2d XOR ECX,dword ptr [RBP + RDI*0x8 + 0x804]
004b8c34 MOVZX ESI,AL
004b8c37 MOVZX EDI,BH
004b8c3a XOR EDX,dword ptr [RBP + RSI*0x8 + 0x800]
004b8c41 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x800]
004b8c48 MOV EBX,dword ptr [R14 + 0x18]
004b8c4c MOV EAX,dword ptr [R14 + 0x1c]
004b8c50 XOR ECX,EDX
004b8c52 ROR EDX,0x8
004b8c55 XOR R10D,ECX
004b8c58 XOR R11D,ECX
004b8c5b XOR R11D,EDX
004b8c5e XOR EAX,R10D
004b8c61 XOR EBX,R11D
004b8c64 MOVZX ESI,AH
004b8c67 MOVZX EDI,BL
004b8c6a MOV EDX,dword ptr [RBP + RSI*0x8 + 0x804]
004b8c71 MOV ECX,dword ptr [RBP + RDI*0x8]
004b8c75 MOVZX ESI,AL
004b8c78 SHR EAX,0x10
004b8c7b MOVZX EDI,BH
004b8c7e XOR EDX,dword ptr [RBP + RSI*0x8 + 0x4]
004b8c82 SHR EBX,0x10
004b8c85 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x4]
004b8c89 MOVZX ESI,AH
004b8c8c MOVZX EDI,BL
004b8c8f XOR EDX,dword ptr [RBP + RSI*0x8]
004b8c93 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x804]
004b8c9a MOVZX ESI,AL
004b8c9d MOVZX EDI,BH
004b8ca0 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x800]
004b8ca7 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x800]
004b8cae MOV EBX,dword ptr [R14 + 0x20]
004b8cb2 MOV EAX,dword ptr [R14 + 0x24]
004b8cb6 XOR ECX,EDX
004b8cb8 ROR EDX,0x8
004b8cbb XOR R8D,ECX
004b8cbe XOR R9D,ECX
004b8cc1 XOR R9D,EDX
004b8cc4 XOR EAX,R8D
004b8cc7 XOR EBX,R9D
004b8cca MOVZX ESI,AH
004b8ccd MOVZX EDI,BL
004b8cd0 MOV EDX,dword ptr [RBP + RSI*0x8 + 0x804]
004b8cd7 MOV ECX,dword ptr [RBP + RDI*0x8]
004b8cdb MOVZX ESI,AL
004b8cde SHR EAX,0x10
004b8ce1 MOVZX EDI,BH
004b8ce4 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x4]
004b8ce8 SHR EBX,0x10
004b8ceb XOR ECX,dword ptr [RBP + RDI*0x8 + 0x4]
004b8cef MOVZX ESI,AH
004b8cf2 MOVZX EDI,BL
004b8cf5 XOR EDX,dword ptr [RBP + RSI*0x8]
004b8cf9 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x804]
004b8d00 MOVZX ESI,AL
004b8d03 MOVZX EDI,BH
004b8d06 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x800]
004b8d0d XOR ECX,dword ptr [RBP + RDI*0x8 + 0x800]
004b8d14 MOV EBX,dword ptr [R14 + 0x28]
004b8d18 MOV EAX,dword ptr [R14 + 0x2c]
004b8d1c XOR ECX,EDX
004b8d1e ROR EDX,0x8
004b8d21 XOR R10D,ECX
004b8d24 XOR R11D,ECX
004b8d27 XOR R11D,EDX
004b8d2a XOR EAX,R10D
004b8d2d XOR EBX,R11D
004b8d30 MOVZX ESI,AH
004b8d33 MOVZX EDI,BL
004b8d36 MOV EDX,dword ptr [RBP + RSI*0x8 + 0x804]
004b8d3d MOV ECX,dword ptr [RBP + RDI*0x8]
004b8d41 MOVZX ESI,AL
004b8d44 SHR EAX,0x10
004b8d47 MOVZX EDI,BH
004b8d4a XOR EDX,dword ptr [RBP + RSI*0x8 + 0x4]
004b8d4e SHR EBX,0x10
004b8d51 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x4]
004b8d55 MOVZX ESI,AH
004b8d58 MOVZX EDI,BL
004b8d5b XOR EDX,dword ptr [RBP + RSI*0x8]
004b8d5f XOR ECX,dword ptr [RBP + RDI*0x8 + 0x804]
004b8d66 MOVZX ESI,AL
004b8d69 MOVZX EDI,BH
004b8d6c XOR EDX,dword ptr [RBP + RSI*0x8 + 0x800]
004b8d73 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x800]
004b8d7a MOV EBX,dword ptr [R14 + 0x30]
004b8d7e MOV EAX,dword ptr [R14 + 0x34]
004b8d82 XOR ECX,EDX
004b8d84 ROR EDX,0x8
004b8d87 XOR R8D,ECX
004b8d8a XOR R9D,ECX
004b8d8d XOR R9D,EDX
004b8d90 XOR EAX,R8D
004b8d93 XOR EBX,R9D
004b8d96 MOVZX ESI,AH
004b8d99 MOVZX EDI,BL
004b8d9c MOV EDX,dword ptr [RBP + RSI*0x8 + 0x804]
004b8da3 MOV ECX,dword ptr [RBP + RDI*0x8]
004b8da7 MOVZX ESI,AL
004b8daa SHR EAX,0x10
004b8dad MOVZX EDI,BH
004b8db0 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x4]
004b8db4 SHR EBX,0x10
004b8db7 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x4]
004b8dbb MOVZX ESI,AH
004b8dbe MOVZX EDI,BL
004b8dc1 XOR EDX,dword ptr [RBP + RSI*0x8]
004b8dc5 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x804]
004b8dcc MOVZX ESI,AL
004b8dcf MOVZX EDI,BH
004b8dd2 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x800]
004b8dd9 XOR ECX,dword ptr [RBP + RDI*0x8 + 0x800]
004b8de0 MOV EBX,dword ptr [R14 + 0x38]
004b8de4 MOV EAX,dword ptr [R14 + 0x3c]
004b8de8 XOR ECX,EDX
004b8dea ROR EDX,0x8
004b8ded XOR R10D,ECX
004b8df0 XOR R11D,ECX
004b8df3 XOR R11D,EDX
004b8df6 XOR EAX,R10D
004b8df9 XOR EBX,R11D
004b8dfc MOVZX ESI,AH
004b8dff MOVZX EDI,BL
004b8e02 MOV EDX,dword ptr [RBP + RSI*0x8 + 0x804]
004b8e09 MOV ECX,dword ptr [RBP + RDI*0x8]
004b8e0d MOVZX ESI,AL
004b8e10 SHR EAX,0x10
004b8e13 MOVZX EDI,BH
004b8e16 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x4]
004b8e1a SHR EBX,0x10
004b8e1d XOR ECX,dword ptr [RBP + RDI*0x8 + 0x4]
004b8e21 MOVZX ESI,AH
004b8e24 MOVZX EDI,BL
004b8e27 XOR EDX,dword ptr [RBP + RSI*0x8]
004b8e2b XOR ECX,dword ptr [RBP + RDI*0x8 + 0x804]
004b8e32 MOVZX ESI,AL
004b8e35 MOVZX EDI,BH
004b8e38 XOR EDX,dword ptr [RBP + RSI*0x8 + 0x800]
004b8e3f XOR ECX,dword ptr [RBP + RDI*0x8 + 0x800]
004b8e46 MOV EBX,dword ptr [R14 + 0x40]
004b8e4a MOV EAX,dword ptr [R14 + 0x44]
004b8e4e XOR ECX,EDX
004b8e50 ROR EDX,0x8
004b8e53 XOR R8D,ECX
004b8e56 XOR R9D,ECX
004b8e59 XOR R9D,EDX
004b8e5c LEA R14,[R14 + 0x40]
004b8e60 CMP R14,R15
004b8e63 MOV EDX,dword ptr [R14 + 0x8]
004b8e67 MOV ECX,dword ptr [R14 + 0xc]
004b8e6b JZ 0x004b8e90
004b8e6d AND EAX,R8D
004b8e70 OR EDX,R11D
004b8e73 ROL EAX,0x1
004b8e75 XOR R10D,EDX
004b8e78 XOR R9D,EAX
004b8e7b AND ECX,R10D
004b8e7e OR EBX,R9D
004b8e81 ROL ECX,0x1
004b8e83 XOR R8D,EBX
004b8e86 XOR R11D,ECX
004b8e89 JMP 0x004b8bf0
004b8e90 XOR EAX,R10D
004b8e93 XOR EBX,R11D
004b8e96 XOR ECX,R8D
004b8e99 XOR EDX,R9D
004b8e9c MOV R8D,EAX
004b8e9f MOV R9D,EBX
004b8ea2 MOV R10D,ECX
004b8ea5 MOV R11D,EDX
004b8ea8 RET
