0053b150 ENDBR64
0053b154 PUSH R15
0053b156 MOV R15,RSI
0053b159 PUSH R14
0053b15b MOV R14,RDI
0053b15e MOV RDI,RCX
0053b161 PUSH R13
0053b163 PUSH R12
0053b165 MOV R12,RCX
0053b168 PUSH RBP
0053b169 MOV RBP,RDX
0053b16c PUSH RBX
0053b16d SUB RSP,0x18
0053b171 CALL 0x00434cf0
0053b176 TEST R14,R14
0053b179 JZ 0x0053b1e0
0053b17b TEST EAX,EAX
0053b17d JLE 0x0053b1c3
0053b17f MOVSXD R13,EAX
0053b182 XOR EBX,EBX
0053b184 JMP 0x0053b1b9
0053b190 MOV RDI,R12
0053b193 CALL 0x00434d10
0053b198 MOV RSI,qword ptr [RBP + RBX*0x8]
0053b19d MOV RDI,R14
0053b1a0 MOV RDX,RAX
0053b1a3 CALL 0x0053a8a0
0053b1a8 TEST EAX,EAX
0053b1aa JZ 0x0053b238
0053b1b0 ADD RBX,0x1
0053b1b4 CMP R13,RBX
0053b1b7 JZ 0x0053b1c3
0053b1b9 CMP qword ptr [RBP + RBX*0x8],0x0
0053b1bf MOV ESI,EBX
0053b1c1 JNZ 0x0053b190
0053b1c3 ADD RSP,0x18
0053b1c7 MOV EAX,0x1
0053b1cc POP RBX
0053b1cd POP RBP
0053b1ce POP R12
0053b1d0 POP R13
0053b1d2 POP R14
0053b1d4 POP R15
0053b1d6 RET
0053b1e0 MOVSXD RCX,EAX
0053b1e3 XOR EBX,EBX
0053b1e5 MOV qword ptr [RSP + 0x8],RCX
0053b1ea TEST EAX,EAX
0053b1ec JG 0x0053b225
0053b1ee JMP 0x0053b1c3
0053b1f0 MOV RDI,R15
0053b1f3 CALL 0x0041b7e0
0053b1f8 MOV R14,RAX
0053b1fb TEST RAX,RAX
0053b1fe JZ 0x0053b21a
0053b200 MOV ESI,R13D
0053b203 MOV RDI,R12
0053b206 CALL 0x00434d10
0053b20b MOV RDI,R14
0053b20e MOV RSI,RAX
0053b211 CALL 0x0041c680
0053b216 TEST EAX,EAX
0053b218 JZ 0x0053b238
0053b21a ADD RBX,0x1
0053b21e CMP RBX,qword ptr [RSP + 0x8]
0053b223 JZ 0x0053b1c3
0053b225 MOV RSI,qword ptr [RBP + RBX*0x8]
0053b22a MOV R13D,EBX
0053b22d TEST RSI,RSI
0053b230 JNZ 0x0053b1f0
0053b232 JMP 0x0053b1c3
0053b238 ADD RSP,0x18
0053b23c XOR EAX,EAX
0053b23e POP RBX
0053b23f POP RBP
0053b240 POP R12
0053b242 POP R13
0053b244 POP R14
0053b246 POP R15
0053b248 RET
