0058b6e0 ENDBR64
0058b6e4 PUSH R14
0058b6e6 PUSH R13
0058b6e8 PUSH R12
0058b6ea PUSH RBP
0058b6eb PUSH RBX
0058b6ec TEST RDI,RDI
0058b6ef JZ 0x0058b7f8
0058b6f5 MOV RBP,RDI
0058b6f8 MOV R12,RSI
0058b6fb MOV R13D,EDX
0058b6fe TEST DL,0x4
0058b701 JZ 0x0058b738
0058b703 XOR EBX,EBX
0058b705 JMP 0x0058b72c
0058b710 MOV ESI,EBX
0058b712 MOV RDI,RBP
0058b715 CALL 0x00434d10
0058b71a MOV RSI,R12
0058b71d MOV RDI,RAX
0058b720 CALL 0x0058b600
0058b725 TEST EAX,EAX
0058b727 JZ 0x0058b764
0058b729 ADD EBX,0x1
0058b72c MOV RDI,RBP
0058b72f CALL 0x00434cf0
0058b734 CMP EAX,EBX
0058b736 JG 0x0058b710
0058b738 TEST R13B,0x8
0058b73c JNZ 0x0058b780
0058b73e XOR EDX,EDX
0058b740 TEST R13B,0x2
0058b744 MOV RSI,R12
0058b747 MOV RDI,RBP
0058b74a SETZ DL
0058b74d NEG EDX
0058b74f CALL 0x004345f0
0058b754 MOV R14D,EAX
0058b757 TEST EAX,EAX
0058b759 JZ 0x0058b7a0
0058b75b MOV R14D,R13D
0058b75e AND R14D,0x1
0058b762 JNZ 0x0058b7e0
0058b764 MOV R14D,0x1
0058b76a POP RBX
0058b76b MOV EAX,R14D
0058b76e POP RBP
0058b76f POP R12
0058b771 POP R13
0058b773 POP R14
0058b775 RET
0058b780 XOR ESI,ESI
0058b782 MOV RDI,R12
0058b785 CALL 0x00590910
0058b78a TEST EAX,EAX
0058b78c JZ 0x0058b73e
0058b78e SETG R14B
0058b792 MOVZX R14D,R14B
0058b796 JMP 0x0058b76a
0058b7a0 CALL 0x00511480
0058b7a5 LEA RDX,[0x800bd8]
0058b7ac MOV ESI,0xdb
0058b7b1 LEA RDI,[0x800b91]
0058b7b8 CALL 0x005115a0
0058b7bd XOR EAX,EAX
0058b7bf XOR EDX,EDX
0058b7c1 MOV ESI,0xc0100
0058b7c6 MOV EDI,0xb
0058b7cb CALL 0x00511950
0058b7d0 POP RBX
0058b7d1 MOV EAX,R14D
0058b7d4 POP RBP
0058b7d5 POP R12
0058b7d7 POP R13
0058b7d9 POP R14
0058b7db RET
0058b7e0 MOV RDI,R12
0058b7e3 CALL 0x0058ea20
0058b7e8 POP RBX
0058b7e9 MOV EAX,R14D
0058b7ec POP RBP
0058b7ed POP R12
0058b7ef POP R13
0058b7f1 POP R14
0058b7f3 RET
0058b7f8 CALL 0x00511480
0058b7fd LEA RDX,[0x800bd8]
0058b804 MOV ESI,0xc4
0058b809 XOR R14D,R14D
0058b80c LEA RDI,[0x800b91]
0058b813 CALL 0x005115a0
0058b818 XOR EDX,EDX
0058b81a MOV ESI,0xc0102
0058b81f XOR EAX,EAX
0058b821 MOV EDI,0xb
0058b826 CALL 0x00511950
0058b82b JMP 0x0058b76a
