005b9aa0 SUB RSI,-0x80
005b9aa4 XOR RAX,RAX
005b9aa7 MOV R8,qword ptr [RSI + -0x80]
005b9aab MOV R9,qword ptr [RSI + -0x78]
005b9aaf MOV R10,qword ptr [RSI + -0x70]
005b9ab3 SHL R8,0x0
005b9ab7 SHL R9,0x1d
005b9abb MOV R11,R10
005b9abe SHL R10,0x3a
005b9ac2 SHR R11,0x6
005b9ac6 ADD RAX,R8
005b9ac9 ADD RAX,R9
005b9acc ADD RAX,R10
005b9acf ADC R11,0x0
005b9ad3 MOV qword ptr [RDI],RAX
005b9ad6 MOV RAX,R11
005b9ad9 MOV R8,qword ptr [RSI + -0x68]
005b9add MOV R9,qword ptr [RSI + -0x60]
005b9ae1 SHL R8,0x17
005b9ae5 MOV R10,R9
005b9ae8 SHL R9,0x34
005b9aec SHR R10,0xc
005b9af0 ADD RAX,R8
005b9af3 ADD RAX,R9
005b9af6 ADC R10,0x0
005b9afa MOV qword ptr [RDI + 0x8],RAX
005b9afe MOV RAX,R10
005b9b01 MOV R11,qword ptr [RSI + -0x58]
005b9b05 MOV R8,qword ptr [RSI + -0x50]
005b9b09 SHL R11,0x11
005b9b0d MOV R9,R8
005b9b10 SHL R8,0x2e
005b9b14 SHR R9,0x12
005b9b18 ADD RAX,R11
005b9b1b ADD RAX,R8
005b9b1e ADC R9,0x0
005b9b22 MOV qword ptr [RDI + 0x10],RAX
005b9b26 MOV RAX,R9
005b9b29 MOV R10,qword ptr [RSI + -0x48]
005b9b2d MOV R11,qword ptr [RSI + -0x40]
005b9b31 SHL R10,0xb
005b9b35 MOV R8,R11
005b9b38 SHL R11,0x28
005b9b3c SHR R8,0x18
005b9b40 ADD RAX,R10
005b9b43 ADD RAX,R11
005b9b46 ADC R8,0x0
005b9b4a MOV qword ptr [RDI + 0x18],RAX
005b9b4e MOV RAX,R8
005b9b51 MOV R9,qword ptr [RSI + -0x38]
005b9b55 MOV R10,qword ptr [RSI + -0x30]
005b9b59 MOV R11,qword ptr [RSI + -0x28]
005b9b5d SHL R9,0x5
005b9b61 SHL R10,0x22
005b9b65 MOV R8,R11
005b9b68 SHL R11,0x3f
005b9b6c SHR R8,0x1
005b9b6f ADD RAX,R9
005b9b72 ADD RAX,R10
005b9b75 ADD RAX,R11
005b9b78 ADC R8,0x0
005b9b7c MOV qword ptr [RDI + 0x20],RAX
005b9b80 MOV RAX,R8
005b9b83 MOV R9,qword ptr [RSI + -0x20]
005b9b87 MOV R10,qword ptr [RSI + -0x18]
005b9b8b SHL R9,0x1c
005b9b8f MOV R11,R10
005b9b92 SHL R10,0x39
005b9b96 SHR R11,0x7
005b9b9a ADD RAX,R9
005b9b9d ADD RAX,R10
005b9ba0 ADC R11,0x0
005b9ba4 MOV qword ptr [RDI + 0x28],RAX
005b9ba8 MOV RAX,R11
005b9bab MOV R8,qword ptr [RSI + -0x10]
005b9baf MOV R9,qword ptr [RSI + -0x8]
005b9bb3 SHL R8,0x16
005b9bb7 MOV R10,R9
005b9bba SHL R9,0x33
005b9bbe SHR R10,0xd
005b9bc2 ADD RAX,R8
005b9bc5 ADD RAX,R9
005b9bc8 ADC R10,0x0
005b9bcc MOV qword ptr [RDI + 0x30],RAX
005b9bd0 MOV RAX,R10
005b9bd3 MOV R11,qword ptr [RSI]
005b9bd6 MOV R8,qword ptr [RSI + 0x8]
005b9bda SHL R11,0x10
005b9bde MOV R9,R8
005b9be1 SHL R8,0x2d
005b9be5 SHR R9,0x13
005b9be9 ADD RAX,R11
005b9bec ADD RAX,R8
005b9bef ADC R9,0x0
005b9bf3 MOV qword ptr [RDI + 0x38],RAX
005b9bf7 MOV RAX,R9
005b9bfa MOV R10,qword ptr [RSI + 0x10]
005b9bfe MOV R11,qword ptr [RSI + 0x18]
005b9c02 SHL R10,0xa
005b9c06 MOV R8,R11
005b9c09 SHL R11,0x27
005b9c0d SHR R8,0x19
005b9c11 ADD RAX,R10
005b9c14 ADD RAX,R11
005b9c17 ADC R8,0x0
005b9c1b MOV qword ptr [RDI + 0x40],RAX
005b9c1f MOV RAX,R8
005b9c22 MOV R9,qword ptr [RSI + 0x20]
005b9c26 MOV R10,qword ptr [RSI + 0x28]
005b9c2a MOV R11,qword ptr [RSI + 0x30]
005b9c2e SHL R9,0x4
005b9c32 SHL R10,0x21
005b9c36 MOV R8,R11
005b9c39 SHL R11,0x3e
005b9c3d SHR R8,0x2
005b9c41 ADD RAX,R9
005b9c44 ADD RAX,R10
005b9c47 ADD RAX,R11
005b9c4a ADC R8,0x0
005b9c4e MOV qword ptr [RDI + 0x48],RAX
005b9c52 MOV RAX,R8
