00444410 ENDBR64
00444414 PUSH R15
00444416 MOV R15,R9
00444419 PUSH R14
0044441b MOV R14,RCX
0044441e PUSH R13
00444420 MOV R13,RDX
00444423 PUSH R12
00444425 MOV R12,RSI
00444428 PUSH RBP
00444429 MOV RBP,RDI
0044442c PUSH RBX
0044442d MOV RBX,R8
00444430 SUB RSP,0x8
00444434 CALL 0x004394e0
00444439 TEST EAX,EAX
0044443b JZ 0x0044445c
0044443d SUB RSP,0x8
00444441 MOV RCX,R14
00444444 MOV RDX,R13
00444447 MOV R9,R15
0044444a PUSH 0x0
0044444c MOV R8,RBX
0044444f MOV RSI,R12
00444452 MOV RDI,RBP
00444455 CALL 0x004441e0
0044445a POP RDX
0044445b POP RCX
0044445c ADD RSP,0x8
00444460 POP RBX
00444461 POP RBP
00444462 POP R12
00444464 POP R13
00444466 POP R14
00444468 POP R15
0044446a RET
