004d42a0 PUSH R15
004d42a2 PUSH R14
004d42a4 PUSH R13
004d42a6 PUSH R12
004d42a8 PUSH RBP
004d42a9 PUSH RBX
004d42aa MOVSXD R14,dword ptr [RSI + 0x14]
004d42ae MOV R9D,dword ptr [RSI + 0x1c]
004d42b2 MOV R12D,dword ptr [RSI + 0x20]
004d42b6 MOVSXD R10,dword ptr [RSI + 0x8]
004d42ba MOVSXD RAX,dword ptr [RSI + 0x4]
004d42be MOV R11,R14
004d42c1 MOVSXD R15,dword ptr [RSI + 0x18]
004d42c5 MOVSXD RBX,dword ptr [RSI]
004d42c8 MOV qword ptr [RSP + -0x50],R14
004d42cd MOVSXD R14,R9D
004d42d0 MOV R8D,dword ptr [RSI + 0xc]
004d42d4 MOV EBP,dword ptr [RSI + 0x10]
004d42d7 MOV qword ptr [RSP + -0x38],R14
004d42dc MOVSXD R14,R12D
004d42df MOV ESI,dword ptr [RSI + 0x24]
004d42e2 MOV RDX,R15
004d42e5 MOV qword ptr [RSP + -0x58],R15
004d42ea MOV R13,R10
004d42ed MOV qword ptr [RSP + -0x48],R14
004d42f2 LEA R14D,[R11 + R11*0x1]
004d42f6 ADD R13D,R13D
004d42f9 MOV RCX,RBX
004d42fc MOVSXD R15,ESI
004d42ff MOV qword ptr [RSP + -0x8],RDI
004d4304 IMUL ESI,ESI,0x26
004d4307 MOV RDI,RAX
004d430a MOV qword ptr [RSP + -0x18],R15
004d430f MOVSXD R15,R14D
004d4312 LEA R14D,[R9 + R9*0x1]
004d4316 ADD EDI,EDI
004d4318 MOVSXD R14,R14D
004d431b MOVSXD RDI,EDI
004d431e MOV qword ptr [RSP + -0x20],RAX
004d4323 MOVSXD RAX,R8D
004d4326 MOV qword ptr [RSP + -0x30],R14
004d432b MOVSXD R14,R13D
004d432e LEA R13D,[R12 + R12*0x8]
004d4332 MOVSXD RSI,ESI
004d4335 LEA R12D,[R12 + R13*0x2]
004d4339 MOV R13,RDI
004d433c ADD R8D,R8D
004d433f MOV qword ptr [RSP + -0x40],RAX
004d4344 IMUL RBX,RBX
004d4348 MOVSXD R12,R12D
004d434b MOVSXD R8,R8D
004d434e MOVSXD RAX,EBP
004d4351 IMUL R13,RSI
004d4355 ADD EBP,EBP
004d4357 ADD ECX,ECX
004d4359 IMUL R9D,R9D,0x26
004d435d MOVSXD RBP,EBP
004d4360 MOVSXD RCX,ECX
004d4363 MOV qword ptr [RSP + -0x28],RBP
004d4368 IMUL R11D,R11D,0x26
004d436c LEA EBP,[RDX + RDX*0x8]
004d436f ADD R13,RBX
004d4372 MOV RBX,R14
