0042fa10 ENDBR64
0042fa14 PUSH R12
0042fa16 MOV R12,RDI
0042fa19 PUSH RBP
0042fa1a MOV EBP,ESI
0042fa1c SUB RSP,0x8
0042fa20 CALL 0x0042f390
0042fa25 TEST RAX,RAX
0042fa28 JZ 0x0042fa40
0042fa2a MOV RAX,qword ptr [RAX]
0042fa2d TEST RAX,RAX
0042fa30 JZ 0x0042fa40
0042fa32 ADD RSP,0x8
0042fa36 MOV ESI,EBP
0042fa38 MOV RDI,R12
0042fa3b POP RBP
0042fa3c POP R12
0042fa3e JMP RAX
0042fa40 XOR EDI,EDI
0042fa42 CALL 0x0042f6e0
0042fa47 TEST RAX,RAX
0042fa4a JZ 0x0042fa50
0042fa4c TEST EBP,EBP
0042fa4e JG 0x0042fa60
0042fa50 ADD RSP,0x8
0042fa54 POP RBP
0042fa55 POP R12
0042fa57 RET
0042fa60 ADD RSP,0x8
0042fa64 MOVSXD R9,EBP
0042fa67 MOV R8,R12
0042fa6a XOR ECX,ECX
0042fa6c POP RBP
0042fa6d XOR EDX,EDX
0042fa6f XOR ESI,ESI
0042fa71 MOV RDI,RAX
0042fa74 POP R12
0042fa76 JMP 0x00526f70
