00618080 ENDBR64
00618084 PUSH R15
00618086 LEA R15,[0x812610]
0061808d PUSH R14
0061808f MOV R14,RCX
00618092 PUSH R13
00618094 MOV R13,RSI
00618097 PUSH R12
00618099 MOV R12,RDX
0061809c PUSH RBP
0061809d PUSH RBX
0061809e SUB RSP,0x18
006180a2 MOV qword ptr [RSP + 0x8],RDI
006180a7 MOV RDI,RDX
006180aa CALL 0x004aff20
006180af MOV EDX,0x45e
006180b4 MOV RSI,R15
006180b7 LEA EBX,[RAX + 0x1]
006180ba MOVSXD RDI,EBX
006180bd SHL RDI,0x2
006180c1 CALL 0x004197a0
006180c6 MOV RBP,RAX
006180c9 TEST RAX,RAX
006180cc JZ 0x00618160
006180d2 MOV RDI,R12
006180d5 MOV EDX,EBX
006180d7 MOV RSI,RAX
006180da CALL 0x00617430
006180df MOV R12D,EAX
006180e2 TEST EAX,EAX
006180e4 JZ 0x00618128
006180e6 CMP EBX,EAX
006180e8 JL 0x00618128
006180ea MOV RDI,qword ptr [RSP + 0x8]
006180ef MOV RCX,R14
006180f2 MOV RDX,RBP
006180f5 MOV RSI,R13
006180f8 CALL 0x00617070
006180fd MOV R12D,EAX
00618100 MOV RSI,R15
00618103 MOV RDI,RBP
00618106 MOV EDX,0x46b
0061810b CALL 0x00419770
00618110 ADD RSP,0x18
00618114 MOV EAX,R12D
00618117 POP RBX
00618118 POP RBP
00618119 POP R12
0061811b POP R13
0061811d POP R14
0061811f POP R15
00618121 RET
00618128 CALL 0x00511480
0061812d MOV RDI,R15
00618130 MOV ESI,0x465
00618135 LEA RDX,[0x812630]
0061813c CALL 0x005115a0
00618141 XOR EDX,EDX
00618143 MOV ESI,0x6a
00618148 XOR EAX,EAX
0061814a MOV EDI,0x3
0061814f CALL 0x00511950
00618154 JMP 0x00618100
00618160 CALL 0x00511480
00618165 MOV ESI,0x460
0061816a MOV RDI,R15
0061816d XOR R12D,R12D
00618170 LEA RDX,[0x812630]
00618177 CALL 0x005115a0
0061817c XOR EDX,EDX
0061817e MOV ESI,0xc0100
00618183 XOR EAX,EAX
00618185 MOV EDI,0x3
0061818a CALL 0x00511950
0061818f JMP 0x00618100
