00450bf0 ENDBR64
00450bf4 PUSH R12
00450bf6 PUSH RBX
00450bf7 MOV RBX,RDI
00450bfa SUB RSP,0x8
00450bfe TEST RDI,RDI
00450c01 JZ 0x00450c80
00450c03 MOV RDI,RSI
00450c06 TEST RSI,RSI
00450c09 JZ 0x00450c32
00450c0b LEA RSI,[0x7d7a61]
00450c12 CALL 0x0041b850
00450c17 MOV RDI,RAX
00450c1a TEST RAX,RAX
00450c1d JZ 0x00450c32
00450c1f LEA RSI,[RBX + 0xd0]
00450c26 CALL 0x0041c590
00450c2b MOV R12D,EAX
00450c2e TEST EAX,EAX
00450c30 JZ 0x00450c48
00450c32 MOV R12D,0x1
00450c38 ADD RSP,0x8
00450c3c MOV EAX,R12D
00450c3f POP RBX
00450c40 POP R12
00450c42 RET
00450c48 CALL 0x00511480
00450c4d LEA RDX,[0x7d7a70]
00450c54 MOV ESI,0x126
00450c59 LEA RDI,[0x7d7a30]
00450c60 CALL 0x005115a0
00450c65 XOR EDX,EDX
00450c67 MOV ESI,0x67
00450c6c XOR EAX,EAX
00450c6e MOV EDI,0x39
00450c73 CALL 0x00511950
00450c78 JMP 0x00450c38
00450c80 XOR R12D,R12D
00450c83 ADD RSP,0x8
00450c87 MOV EAX,R12D
00450c8a POP RBX
00450c8b POP R12
00450c8d RET
