004c1430 ENDBR64
004c1434 PUSH R15
004c1436 PUSH R14
004c1438 PUSH R13
004c143a MOV R13,RCX
004c143d PUSH R12
004c143f MOV R12,RDX
004c1442 PUSH RBP
004c1443 MOV RBP,RDI
004c1446 PUSH RBX
004c1447 MOV RBX,RSI
004c144a SUB RSP,0x8
004c144e TEST RSI,RSI
004c1451 JZ 0x004c1560
004c1457 CALL 0x00511060
004c145c MOV RDI,RBP
004c145f XOR ESI,ESI
004c1461 MOV R14,RBX
004c1464 CALL 0x004bfe10
004c1469 MOV RBP,RAX
004c146c TEST RAX,RAX
004c146f JZ 0x004c1530
004c1475 XOR EDX,EDX
004c1477 MOV RSI,R14
004c147a MOV RDI,RBP
004c147d CALL 0x004bff90
004c1482 TEST EAX,EAX
004c1484 JLE 0x004c14f0
004c1486 MOV RSI,R12
004c1489 MOV RDX,R13
004c148c MOV RDI,RBP
004c148f CALL 0x004c0ba0
004c1494 XOR ESI,ESI
004c1496 LEA RDX,[0x7df07c]
004c149d MOV RDI,RBP
004c14a0 MOV R12D,EAX
004c14a3 CALL 0x004c06e0
004c14a8 TEST RAX,RAX
004c14ab SETZ R15B
004c14af TEST RBX,RBX
004c14b2 JZ 0x004c1591
004c14b8 MOV RDI,RBP
004c14bb CALL 0x004bfea0
004c14c0 AND R13D,0x2
004c14c4 JZ 0x004c14cf
004c14c6 TEST R15B,R15B
004c14c9 JNZ 0x004c1550
004c14cf TEST R12D,R12D
004c14d2 JLE 0x004c1540
004c14d4 CALL 0x005110b0
004c14d9 ADD RSP,0x8
004c14dd MOV EAX,R12D
004c14e0 POP RBX
004c14e1 POP RBP
004c14e2 POP R12
004c14e4 POP R13
004c14e6 POP R14
004c14e8 POP R15
004c14ea RET
004c14f0 MOV R15D,0x1
004c14f6 XOR R12D,R12D
004c14f9 TEST R13B,0x10
004c14fd JZ 0x004c14af
004c14ff CALL 0x00510a50
004c1504 MOV ECX,EAX
004c1506 MOV EDX,EAX
004c1508 AND ECX,0x7fffffff
004c150e AND EDX,0x7fffff
004c1514 TEST EAX,0x80000000
004c1519 MOV EAX,ECX
004c151b CMOVZ EAX,EDX
004c151e XOR R12D,R12D
004c1521 CMP EAX,0x72
004c1524 SETZ R12B
004c1528 JMP 0x004c14af
004c1530 XOR EDI,EDI
004c1532 CALL 0x004bfea0
004c1537 AND R13D,0x2
004c153b JNZ 0x004c1550
004c153d XOR R12D,R12D
004c1540 CALL 0x00511200
004c1545 JMP 0x004c14d9
004c1550 MOV R12D,0x1
004c1556 JMP 0x004c14d4
004c1560 CALL 0x004c1390
004c1565 MOV R14,RAX
004c1568 TEST RAX,RAX
004c156b JZ 0x004c15b0
004c156d CALL 0x00511060
004c1572 MOV RDI,RBP
004c1575 XOR ESI,ESI
004c1577 CALL 0x004bfe10
004c157c MOV RBP,RAX
004c157f TEST RAX,RAX
004c1582 JNZ 0x004c1475
004c1588 MOV R15D,0x1
004c158e XOR R12D,R12D
004c1591 MOV EDX,0xba
004c1596 LEA RSI,[0x7df062]
004c159d MOV RDI,R14
004c15a0 CALL 0x00419770
004c15a5 JMP 0x004c14b8
004c15b0 XOR EBP,EBP
004c15b2 MOV R15D,0x1
004c15b8 XOR R12D,R12D
004c15bb JMP 0x004c1591
