00538f00 ENDBR64
00538f04 PUSH R12
00538f06 MOV R12,RDI
00538f09 PUSH RBP
00538f0a MOV EBP,ESI
00538f0c PUSH RBX
00538f0d MOV EBX,EDX
00538f0f TEST ESI,ESI
00538f11 JS 0x00538f29
00538f13 CMP ESI,0x1e
00538f16 JLE 0x00538f20
00538f18 XOR EAX,EAX
00538f1a POP RBX
00538f1b POP RBP
00538f1c POP R12
00538f1e RET
00538f20 CALL 0x00539c00
00538f25 TEST EAX,EAX
00538f27 JZ 0x00538f18
00538f29 MOV RDI,R12
00538f2c CALL 0x00539c00
00538f31 TEST EAX,EAX
00538f33 JZ 0x00538f18
00538f35 TEST EBX,EBX
00538f37 JNZ 0x00538f70
00538f39 MOV RDI,R12
00538f3c CALL 0x00539f10
00538f41 TEST EAX,EAX
00538f43 JNZ 0x00538f18
00538f45 MOV EDX,0x1
00538f4a MOV ESI,0x1
00538f4f MOV RDI,R12
00538f52 CALL 0x00539c10
00538f57 TEST EAX,EAX
00538f59 JNZ 0x00538f18
00538f5b MOV ESI,EBP
00538f5d MOV RDI,R12
00538f60 CALL 0x00538ce0
00538f65 TEST EAX,EAX
00538f67 SETNZ AL
00538f6a MOVZX EAX,AL
00538f6d JMP 0x00538f1a
00538f70 MOV EDX,0x1
00538f75 MOV ESI,0xff
00538f7a MOV RDI,R12
00538f7d CALL 0x00539c10
00538f82 TEST EAX,EAX
00538f84 JNZ 0x00538f39
00538f86 JMP 0x00538f18
