00438560 ENDBR64
00438564 PUSH R14
00438566 MOV R14,RCX
00438569 PUSH R13
0043856b MOV R13,RDX
0043856e PUSH R12
00438570 MOV R12,RSI
00438573 PUSH RBP
00438574 MOV RBP,RDI
00438577 PUSH RBX
00438578 CALL 0x0040e3d0
0043857d MOV RDI,RBP
00438580 MOV RBX,RAX
00438583 CALL 0x0040e3d0
00438588 MOV RCX,R14
0043858b MOV RSI,R13
0043858e MOV RDI,R12
00438591 NEG RAX
00438594 AND EAX,0xf
00438597 LEA RDX,[RBX + RAX*0x1]
0043859b POP RBX
0043859c POP RBP
0043859d POP R12
0043859f POP R13
004385a1 POP R14
004385a3 JMP 0x0059e110
