004ca690 ENDBR64
004ca694 PUSH R15
004ca696 PUSH R14
004ca698 PUSH R13
004ca69a PUSH R12
004ca69c PUSH RBP
004ca69d PUSH RBX
004ca69e SUB RSP,0x18
004ca6a2 MOV RBP,qword ptr [RDI + 0x20]
004ca6a6 MOV qword ptr [RSP + 0x8],RDX
004ca6ab MOV RDI,RBP
004ca6ae MOV qword ptr [RSP],RSI
004ca6b2 CALL 0x004cc4f0
004ca6b7 MOV RDI,RBP
004ca6ba MOV R12,RAX
004ca6bd CALL 0x004cc510
004ca6c2 MOV RDI,RBP
004ca6c5 MOV R14,RAX
004ca6c8 CALL 0x004cc500
004ca6cd MOV RDI,RBP
004ca6d0 MOV R13,RAX
004ca6d3 CALL 0x004cc520
004ca6d8 MOV RDI,RBP
004ca6db MOV R15,RAX
004ca6de CALL 0x004cc530
004ca6e3 TEST R12,R12
004ca6e6 MOV RBX,RAX
004ca6e9 SETZ AL
004ca6ec TEST R13,R13
004ca6ef SETZ DL
004ca6f2 OR AL,DL
004ca6f4 JNZ 0x004ca730
004ca6f6 TEST R14,R14
004ca6f9 JZ 0x004ca730
004ca6fb CALL 0x0053a360
004ca700 MOV RBP,RAX
004ca703 TEST RAX,RAX
004ca706 JZ 0x004ca730
004ca708 MOV RDX,R12
004ca70b LEA RSI,[0x80f321]
004ca712 MOV RDI,RAX
004ca715 CALL 0x0053a8a0
004ca71a TEST EAX,EAX
004ca71c JNZ 0x004ca748
004ca71e XOR R12D,R12D
004ca721 MOV RDI,RBP
004ca724 CALL 0x0053a3d0
004ca729 JMP 0x004ca733
004ca730 XOR R12D,R12D
004ca733 ADD RSP,0x18
004ca737 MOV EAX,R12D
004ca73a POP RBX
004ca73b POP RBP
004ca73c POP R12
004ca73e POP R13
004ca740 POP R14
004ca742 POP R15
004ca744 RET
004ca748 MOV RDX,R13
004ca74b LEA RSI,[0x7fd3a0]
004ca752 MOV RDI,RBP
004ca755 CALL 0x0053a8a0
004ca75a TEST EAX,EAX
004ca75c JZ 0x004ca71e
004ca75e MOV RDX,R14
004ca761 LEA RSI,[0x7fa894]
004ca768 MOV RDI,RBP
004ca76b CALL 0x0053a8a0
004ca770 TEST EAX,EAX
004ca772 JZ 0x004ca71e
004ca774 TEST R15,R15
004ca777 JZ 0x004ca7f0
004ca779 MOV RDX,R15
004ca77c LEA RSI,[0x7da6af]
004ca783 MOV RDI,RBP
004ca786 MOV R12D,0x6
004ca78c CALL 0x0053a8a0
004ca791 TEST EAX,EAX
004ca793 JZ 0x004ca71e
004ca795 TEST RBX,RBX
004ca798 JZ 0x004ca7b8
004ca79a MOV RDX,RBX
004ca79d LEA RSI,[0x7c4ad5]
004ca7a4 MOV RDI,RBP
004ca7a7 CALL 0x0053a8a0
004ca7ac TEST EAX,EAX
004ca7ae JZ 0x004ca71e
004ca7b4 OR R12D,0x1
004ca7b8 MOV RDI,RBP
004ca7bb CALL 0x0053ab90
004ca7c0 MOV R13,RAX
004ca7c3 TEST RAX,RAX
004ca7c6 JZ 0x004ca71e
004ca7cc MOV RDI,qword ptr [RSP]
004ca7d0 MOV RDX,RAX
004ca7d3 MOV ESI,R12D
004ca7d6 MOV RAX,qword ptr [RSP + 0x8]
004ca7db CALL RAX
004ca7dd MOV RDI,R13
004ca7e0 MOV R12D,EAX
004ca7e3 CALL 0x0041d640
004ca7e8 JMP 0x004ca721
004ca7f0 MOV R12D,0x4
004ca7f6 JMP 0x004ca795
