0042e890 ENDBR64
0042e894 PUSH R13
0042e896 XOR EDI,EDI
0042e898 MOV R13,R9
0042e89b PUSH R12
0042e89d MOV R12,R8
0042e8a0 PUSH RBP
0042e8a1 PUSH RBX
0042e8a2 MOV RBX,RSI
0042e8a5 XOR ESI,ESI
0042e8a7 SUB RSP,0x8
0042e8ab CALL 0x00430290
0042e8b0 TEST RAX,RAX
0042e8b3 JZ 0x0042e918
0042e8b5 MOV RDI,RAX
0042e8b8 MOV RBP,RAX
0042e8bb CALL 0x00479fb0
0042e8c0 TEST EAX,EAX
0042e8c2 JZ 0x0042e910
0042e8c4 TEST R12,R12
0042e8c7 JZ 0x0042e8dd
0042e8c9 XOR ECX,ECX
0042e8cb MOV RDX,R13
0042e8ce MOV RSI,R12
0042e8d1 MOV RDI,RBP
0042e8d4 CALL 0x00430700
0042e8d9 TEST EAX,EAX
0042e8db JZ 0x0042e910
0042e8dd MOV RDI,RBP
0042e8e0 CALL 0x00430530
0042e8e5 MOV RDI,RBP
0042e8e8 MOV R12,RAX
0042e8eb CALL 0x00430540
0042e8f0 MOV qword ptr [RBX],RAX
0042e8f3 MOV RDI,RBP
0042e8f6 CALL 0x00430490
0042e8fb ADD RSP,0x8
0042e8ff MOV RAX,R12
0042e902 POP RBX
0042e903 POP RBP
0042e904 POP R12
0042e906 POP R13
0042e908 RET
0042e910 XOR R12D,R12D
0042e913 JMP 0x0042e8f3
0042e918 CALL 0x00511480
0042e91d LEA RDX,[0x7d27e0]
0042e924 MOV ESI,0x38
0042e929 XOR R12D,R12D
0042e92c LEA RDI,[0x7d27c5]
0042e933 CALL 0x005115a0
0042e938 XOR EAX,EAX
0042e93a XOR EDX,EDX
0042e93c MOV ESI,0xc0100
0042e941 MOV EDI,0x24
0042e946 CALL 0x00511950
0042e94b ADD RSP,0x8
0042e94f MOV RAX,R12
0042e952 POP RBX
0042e953 POP RBP
0042e954 POP R12
0042e956 POP R13
0042e958 RET
