0059eeb0 ENDBR64
0059eeb4 PUSH R12
0059eeb6 MOV RDI,RSI
0059eeb9 MOV R12D,EDX
0059eebc CMP EDX,0x40
0059eebf JZ 0x0059ef22
0059eec1 JG 0x0059ef10
0059eec3 LEA EDX,[RDX + -0x10]
0059eec6 MOV EAX,0x1
0059eecb AND EDX,0xffffffef
0059eece JZ 0x0059ef0a
0059eed0 CALL 0x00511480
0059eed5 LEA RDX,[0x802940]
0059eedc MOV ESI,0x37
0059eee1 LEA RDI,[0x802900]
0059eee8 CALL 0x005115a0
0059eeed XOR EAX,EAX
0059eeef MOV ECX,R12D
0059eef2 MOV ESI,0xc0103
0059eef7 LEA RDX,[0x802924]
0059eefe MOV EDI,0x39
0059ef03 CALL 0x00511950
0059ef08 XOR EAX,EAX
0059ef0a POP R12
0059ef0c RET
0059ef10 CMP EDX,0x1000
0059ef16 JZ 0x0059ef22
0059ef18 JLE 0x0059ef80
0059ef1a CMP EDX,0x2000
0059ef20 JNZ 0x0059eed0
0059ef22 MOV ESI,0xf000
0059ef27 CALL 0x00557ad0
0059ef2c MOV R8D,EAX
0059ef2f MOV EAX,0x1
0059ef34 CMP R8D,0x1000
0059ef3b JNZ 0x0059ef0a
0059ef3d CALL 0x00511480
0059ef42 LEA RDX,[0x802940]
0059ef49 MOV ESI,0x30
0059ef4e LEA RDI,[0x802900]
0059ef55 CALL 0x005115a0
0059ef5a XOR EAX,EAX
0059ef5c MOV ECX,R12D
0059ef5f MOV ESI,0xb2
0059ef64 LEA RDX,[0x80292c]
0059ef6b MOV EDI,0x39
0059ef70 CALL 0x00511950
0059ef75 XOR EAX,EAX
0059ef77 JMP 0x0059ef0a
0059ef80 LEA EAX,[RDX + -0x200]
0059ef86 TEST EAX,0xfffffdff
0059ef8b JNZ 0x0059eed0
0059ef91 JMP 0x0059ef22
