0059c0e0 ENDBR64
0059c0e4 PUSH R14
0059c0e6 PUSH R13
0059c0e8 XOR R13D,R13D
0059c0eb PUSH R12
0059c0ed PUSH RBP
0059c0ee SUB RSP,0x8
0059c0f2 TEST RDI,RDI
0059c0f5 JZ 0x0059c138
0059c0f7 MOV R12,RDI
0059c0fa MOV R14,RSI
0059c0fd CALL 0x00530610
0059c102 MOV RBP,RAX
0059c105 TEST RAX,RAX
0059c108 JZ 0x0059c147
0059c10a MOV RDX,R12
0059c10d MOV ESI,0x398
0059c112 MOV RDI,RAX
0059c115 CALL 0x00530b70
0059c11a MOV RDI,RBP
0059c11d MOV RSI,R14
0059c120 CALL 0x0059bbe0
0059c125 MOV qword ptr [RBP + 0x20],0x0
0059c12d MOV RDI,RBP
0059c130 MOV R13D,EAX
0059c133 CALL 0x00530ea0
0059c138 ADD RSP,0x8
0059c13c MOV EAX,R13D
0059c13f POP RBP
0059c140 POP R12
0059c142 POP R13
0059c144 POP R14
0059c146 RET
0059c147 CALL 0x00511480
0059c14c MOV ESI,0x2ca
0059c151 LEA RDX,[0x802660]
0059c158 LEA RDI,[0x802581]
0059c15f CALL 0x005115a0
0059c164 XOR EDX,EDX
0059c166 MOV ESI,0xc0100
0059c16b XOR EAX,EAX
0059c16d MOV EDI,0xd
0059c172 MOV R13D,0xffffffff
0059c178 CALL 0x00511950
0059c17d JMP 0x0059c138
