00461f90 ENDBR64
00461f94 PUSH R15
00461f96 MOV R15,RSI
00461f99 PUSH R14
00461f9b MOV R14,RCX
00461f9e PUSH R13
00461fa0 MOV R13D,EDX
00461fa3 PUSH R12
00461fa5 PUSH RBP
00461fa6 MOV RBP,RDI
00461fa9 PUSH RBX
00461faa SUB RSP,0x8
00461fae CALL 0x00461ed0
00461fb3 MOV RDI,RBP
00461fb6 MOV R12,RAX
00461fb9 CALL 0x00461f00
00461fbe MOV RDI,RBP
00461fc1 MOV RBX,RAX
00461fc4 CALL 0x00461f30
00461fc9 TEST R12,R12
00461fcc SETNZ DL
00461fcf TEST RAX,RAX
00461fd2 MOV RBP,RAX
00461fd5 SETNZ AL
00461fd8 TEST DL,AL
00461fda JZ 0x00462020
00461fdc TEST RBX,RBX
00461fdf JZ 0x00462020
00461fe1 MOV RDI,R15
00461fe4 CALL R12
00461fe7 MOV R12,RAX
00461fea TEST RAX,RAX
00461fed JZ 0x00462010
00461fef MOV RDX,R14
00461ff2 MOV ESI,R13D
00461ff5 MOV RDI,RAX
00461ff8 CALL RBP
00461ffa TEST EAX,EAX
00461ffc JZ 0x00462010
00461ffe ADD RSP,0x8
00462002 MOV RAX,R12
00462005 POP RBX
00462006 POP RBP
00462007 POP R12
00462009 POP R13
0046200b POP R14
0046200d POP R15
0046200f RET
00462010 MOV RDI,R12
00462013 XOR R12D,R12D
00462016 CALL RBX
00462018 JMP 0x00461ffe
00462020 XOR R12D,R12D
00462023 JMP 0x00461ffe
