0046a910 ENDBR64
0046a914 PUSH R12
0046a916 XOR R12D,R12D
0046a919 PUSH RBP
0046a91a PUSH RBX
0046a91b MOV RBX,RDI
0046a91e CALL 0x004394e0
0046a923 TEST EAX,EAX
0046a925 JZ 0x0046a94c
0046a927 LEA RBP,[0x7da448]
0046a92e MOV EDX,0x69
0046a933 MOV EDI,0x430
0046a938 MOV RSI,RBP
0046a93b CALL 0x004198d0
0046a940 MOV R12,RAX
0046a943 TEST RAX,RAX
0046a946 JZ 0x0046a958
0046a948 MOV qword ptr [R12],RBX
0046a94c MOV RAX,R12
0046a94f POP RBX
0046a950 POP RBP
0046a951 POP R12
0046a953 RET
0046a958 CALL 0x00511480
0046a95d MOV RDI,RBP
0046a960 MOV ESI,0x6a
0046a965 LEA RDX,[0x7da480]
0046a96c CALL 0x005115a0
0046a971 XOR EDX,EDX
0046a973 MOV ESI,0xc0100
0046a978 XOR EAX,EAX
0046a97a MOV EDI,0x39
0046a97f CALL 0x00511950
0046a984 JMP 0x0046a948
