00506f30 ENDBR64
00506f34 PUSH R15
00506f36 PUSH R14
00506f38 PUSH R13
00506f3a PUSH R12
00506f3c PUSH RBP
00506f3d PUSH RBX
00506f3e SUB RSP,0x8
00506f42 TEST RDI,RDI
00506f45 JZ 0x00507060
00506f4b LEA R15,[0x7f7018]
00506f52 MOV RBP,RDI
00506f55 MOV RBX,RSI
00506f58 MOV EDX,0xe2
00506f5d MOV RSI,R15
00506f60 MOV EDI,0x28
00506f65 CALL 0x004198d0
00506f6a MOV R12,RAX
00506f6d TEST RAX,RAX
00506f70 JZ 0x005070a0
00506f76 MOV RDI,RBP
00506f79 CALL 0x00508350
00506f7e TEST EAX,EAX
00506f80 JZ 0x00507020
00506f86 MOV RDI,RBP
00506f89 CALL 0x00508f40
00506f8e MOV RDI,RAX
00506f91 CALL 0x0041f700
00506f96 MOV RDI,RBP
00506f99 MOV R13,RAX
00506f9c CALL 0x00508ff0
00506fa1 MOV R14,RAX
00506fa4 TEST RAX,RAX
00506fa7 JZ 0x005070d8
00506fad LEA RDX,[0x80fb7d]
00506fb4 MOV RSI,R13
00506fb7 MOV RDI,RAX
00506fba CALL 0x0042e0a0
00506fbf MOV RDI,R13
00506fc2 MOV RSI,RAX
00506fc5 CALL 0x0042e130
00506fca MOV qword ptr [R12 + 0x10],RAX
00506fcf TEST RAX,RAX
00506fd2 JZ 0x00507120
00506fd8 MOV RSI,R13
00506fdb LEA RDX,[0x80edb3]
00506fe2 MOV RDI,R14
00506fe5 CALL 0x0042e0a0
00506fea MOV RSI,RAX
00506fed TEST RAX,RAX
00506ff0 JZ 0x00506fff
00506ff2 MOV RDI,R13
00506ff5 CALL 0x0042e130
00506ffa MOV qword ptr [R12 + 0x18],RAX
00506fff MOV qword ptr [R12],RBP
00507003 MOV qword ptr [R12 + 0x8],RBX
00507008 ADD RSP,0x8
0050700c MOV RAX,R12
0050700f POP RBX
00507010 POP RBP
00507011 POP R12
00507013 POP R13
00507015 POP R14
00507017 POP R15
00507019 RET
00507020 CALL 0x00511480
00507025 LEA RDX,[0x7f72d0]
0050702c MOV ESI,0xe7
00507031 MOV RDI,R15
00507034 CALL 0x005115a0
00507039 XOR EDX,EDX
0050703b MOV ESI,0xc0103
00507040 XOR EAX,EAX
00507042 MOV EDI,0x3c
00507047 CALL 0x00511950
0050704c MOV RDI,R12
0050704f XOR R12D,R12D
00507052 CALL 0x00506ed0
00507057 JMP 0x00507008
00507060 CALL 0x00511480
00507065 LEA RDX,[0x7f72d0]
0050706c MOV ESI,0xde
00507071 XOR R12D,R12D
00507074 LEA RDI,[0x7f7018]
0050707b CALL 0x005115a0
00507080 XOR EDX,EDX
00507082 MOV ESI,0xc0102
00507087 XOR EAX,EAX
00507089 MOV EDI,0x3c
0050708e CALL 0x00511950
00507093 JMP 0x00507008
005070a0 CALL 0x00511480
005070a5 MOV RDI,R15
005070a8 MOV ESI,0xe3
005070ad LEA RDX,[0x7f72d0]
005070b4 CALL 0x005115a0
005070b9 XOR EDX,EDX
005070bb MOV ESI,0xc0100
005070c0 XOR EAX,EAX
005070c2 MOV EDI,0x3c
005070c7 CALL 0x00511950
005070cc JMP 0x00507008
005070d8 CALL 0x00511480
005070dd LEA RDX,[0x7f72d0]
005070e4 MOV ESI,0xef
005070e9 MOV RDI,R15
005070ec CALL 0x005115a0
005070f1 MOV RDI,RBP
005070f4 CALL 0x00509090
005070f9 MOV ESI,0x8010e
005070fe MOV EDI,0x3c
00507103 LEA RDX,[0x7f7040]
0050710a MOV RCX,RAX
0050710d XOR EAX,EAX
0050710f CALL 0x00511950
00507114 JMP 0x0050704c
00507120 CALL 0x00511480
00507125 LEA RDX,[0x7f72d0]
0050712c MOV ESI,0xf9
00507131 MOV RDI,R15
00507134 CALL 0x005115a0
00507139 MOV RDI,RBP
0050713c CALL 0x00508f90
00507141 MOV RDI,RBP
00507144 MOV RBX,RAX
00507147 CALL 0x00509090
0050714c MOV R8,RBX
0050714f MOV ESI,0x8010e
00507154 LEA RDX,[0x7f7078]
0050715b MOV RCX,RAX
0050715e MOV EDI,0x3c
00507163 XOR EAX,EAX
00507165 CALL 0x00511950
0050716a JMP 0x0050704c
