00413f90 ENDBR64
00413f94 PUSH R13
00413f96 PUSH R12
00413f98 PUSH RBP
00413f99 TEST RCX,RCX
00413f9c JZ 0x00413fd8
00413f9e MOV RBP,RDI
00413fa1 MOV RDI,RCX
00413fa4 MOV R12D,ESI
00413fa7 MOV R13D,EDX
00413faa CALL 0x0052e540
00413faf MOV R9,RAX
00413fb2 TEST RAX,RAX
00413fb5 JZ 0x00413fd8
00413fb7 MOV ECX,R13D
00413fba MOV EDX,R12D
00413fbd MOV RDI,RBP
00413fc0 XOR R8D,R8D
00413fc3 POP RBP
00413fc4 MOV ESI,0xffffffff
00413fc9 POP R12
00413fcb POP R13
00413fcd JMP 0x00413210
00413fd8 CALL 0x00511480
00413fdd LEA RDX,[0x7c4af0]
00413fe4 MOV ESI,0x64b
00413fe9 LEA RDI,[0x7c4ab1]
00413ff0 CALL 0x005115a0
00413ff5 XOR EAX,EAX
00413ff7 XOR EDX,EDX
00413ff9 MOV ESI,0x98
00413ffe MOV EDI,0x6
00414003 CALL 0x00511950
00414008 POP RBP
00414009 XOR EAX,EAX
0041400b POP R12
0041400d POP R13
0041400f RET
