006105f0 ENDBR64
006105f4 PUSH R15
006105f6 PUSH R14
006105f8 MOV R14,RDX
006105fb PUSH R13
006105fd PUSH R12
006105ff PUSH RBP
00610600 PUSH RBX
00610601 SUB RSP,0x8
00610605 TEST RSI,RSI
00610608 SETZ AL
0061060b TEST RDX,RDX
0061060e SETZ DL
00610611 OR AL,DL
00610613 JNZ 0x00610700
00610619 MOV RBX,RDI
0061061c TEST RDI,RDI
0061061f JZ 0x00610700
00610625 MOV RBP,RSI
00610628 MOV R12D,ECX
0061062b CMP ECX,-0x1
0061062e JZ 0x006106a8
00610630 CMP R12D,0x40
00610634 JG 0x006106bd
0061063a MOV R15,qword ptr [RBX]
0061063d TEST R15,R15
00610640 JZ 0x00610748
00610646 MOV RSI,RBP
00610649 MOV RDI,R15
0061064c CALL 0x00610580
00610651 TEST RAX,RAX
00610654 JZ 0x006107c0
0061065a CALL 0x00511480
0061065f LEA RDX,[0x811de0]
00610666 MOV ESI,0xad
0061066b LEA RDI,[0x811d6b]
00610672 CALL 0x005115a0
00610677 XOR EDX,EDX
00610679 XOR EAX,EAX
0061067b MOV ESI,0x85
00610680 MOV EDI,0x22
00610685 CALL 0x00511950
0061068a CMP qword ptr [RBX],0x0
0061068e JZ 0x006107b2
00610694 XOR EAX,EAX
00610696 ADD RSP,0x8
0061069a POP RBX
0061069b POP RBP
0061069c POP R12
0061069e POP R13
006106a0 POP R14
006106a2 POP R15
006106a4 RET
006106a8 MOV RDI,R14
006106ab CALL 0x004010a0
006106b0 MOV R12D,EAX
006106b3 CMP R12D,0x40
006106b7 JLE 0x0061063a
006106bd CALL 0x00511480
006106c2 LEA RDX,[0x811de0]
006106c9 MOV ESI,0xa2
006106ce LEA RDI,[0x811d6b]
006106d5 CALL 0x005115a0
006106da XOR EAX,EAX
006106dc XOR EDX,EDX
006106de MOV ESI,0x84
006106e3 MOV EDI,0x22
006106e8 CALL 0x00511950
006106ed ADD RSP,0x8
006106f1 XOR EAX,EAX
006106f3 POP RBX
006106f4 POP RBP
006106f5 POP R12
006106f7 POP R13
006106f9 POP R14
006106fb POP R15
006106fd RET
00610700 CALL 0x00511480
00610705 LEA RDX,[0x811de0]
0061070c MOV ESI,0x9c
00610711 LEA RDI,[0x811d6b]
00610718 CALL 0x005115a0
0061071d XOR EAX,EAX
0061071f XOR EDX,EDX
00610721 MOV ESI,0x6b
00610726 MOV EDI,0x22
0061072b CALL 0x00511950
00610730 ADD RSP,0x8
00610734 XOR EAX,EAX
00610736 POP RBX
00610737 POP RBP
00610738 POP R12
0061073a POP R13
0061073c POP R14
0061073e POP R15
00610740 RET
00610748 CALL 0x00610540
0061074d MOV R13,RAX
00610750 TEST RAX,RAX
00610753 JZ 0x00610770
00610755 MOV RDI,qword ptr [RAX]
00610758 XOR ESI,ESI
0061075a MOV R15,R13
0061075d CALL 0x0049d380
00610762 TEST EAX,EAX
00610764 JNZ 0x00610646
0061076a XOR R13D,R13D
0061076d NOP dword ptr [RAX]
00610770 CALL 0x00511480
00610775 LEA RDX,[0x811de0]
0061077c MOV ESI,0xc1
00610781 LEA RDI,[0x811d6b]
00610788 CALL 0x005115a0
0061078d XOR EDX,EDX
0061078f XOR EAX,EAX
00610791 MOV ESI,0xc0100
00610796 MOV EDI,0x22
0061079b CALL 0x00511950
006107a0 MOV RDI,R13
006107a3 CALL 0x006104c0
006107a8 CMP qword ptr [RBX],0x0
006107ac JNZ 0x00610694
006107b2 MOV RDI,R15
006107b5 CALL 0x00610560
006107ba JMP 0x00610694
006107c0 CALL 0x006104a0
006107c5 MOV R13,RAX
006107c8 TEST RAX,RAX
006107cb JZ 0x00610770
006107cd CMP R12D,-0x1
006107d1 JNZ 0x006107de
006107d3 MOV RDI,R14
006107d6 CALL 0x004010a0
006107db MOV R12D,EAX
006107de MOV RDI,qword ptr [R13 + 0x8]
006107e2 MOV EDX,R12D
006107e5 MOV RSI,R14
006107e8 CALL 0x005a1df0
006107ed TEST EAX,EAX
006107ef JZ 0x00610770
006107f5 MOV RDI,qword ptr [R15 + 0x8]
006107f9 MOV RSI,R13
006107fc CALL 0x004347f0
00610801 TEST EAX,EAX
00610803 JZ 0x00610770
00610809 MOV qword ptr [R13],RBP
0061080d MOV EAX,0x1
00610812 MOV qword ptr [RBX],R15
00610815 JMP 0x00610696
