00473ec0 ENDBR64
00473ec4 PUSH R12
00473ec6 PUSH RBP
00473ec7 MOV RBP,RSI
00473eca LEA RSI,[0x824dc2]
00473ed1 PUSH RBX
00473ed2 MOV RBX,RDI
00473ed5 MOV RDI,RBP
00473ed8 CALL 0x0041b7e0
00473edd TEST RAX,RAX
00473ee0 JZ 0x00473f05
00473ee2 MOV RDI,qword ptr [RBX + 0x8]
00473ee6 MOV R12,RAX
00473ee9 CALL 0x004beeb0
00473eee MOV RDI,RAX
00473ef1 CALL 0x0040e1d0
00473ef6 MOV RDI,R12
00473ef9 MOVSXD RSI,EAX
00473efc CALL 0x0041c5a0
00473f01 TEST EAX,EAX
00473f03 JZ 0x00473f45
00473f05 MOV RDI,RBP
00473f08 LEA RSI,[0x7dac53]
00473f0f CALL 0x0041b7e0
00473f14 MOV RBP,RAX
00473f17 MOV EAX,0x1
00473f1c TEST RBP,RBP
00473f1f JZ 0x00473f45
00473f21 MOV RDI,qword ptr [RBX + 0x8]
00473f25 CALL 0x004beeb0
00473f2a MOV RDI,RAX
00473f2d CALL 0x0040e1d0
00473f32 MOV RDI,RBP
00473f35 MOVSXD RSI,EAX
00473f38 CALL 0x0041c5a0
00473f3d TEST EAX,EAX
00473f3f SETNZ AL
00473f42 MOVZX EAX,AL
00473f45 POP RBX
00473f46 POP RBP
00473f47 POP R12
00473f49 RET
