0043cc40 ENDBR64
0043cc44 PUSH R12
0043cc46 XOR R12D,R12D
0043cc49 PUSH RBX
0043cc4a MOV RBX,RDI
0043cc4d SUB RSP,0x8
0043cc51 CALL 0x004394e0
0043cc56 TEST EAX,EAX
0043cc58 JZ 0x0043cca6
0043cc5a MOV EDX,0x5d
0043cc5f LEA RSI,[0x7d6d18]
0043cc66 MOV EDI,0x1c0
0043cc6b CALL 0x004198d0
0043cc70 MOV R12,RAX
0043cc73 TEST RAX,RAX
0043cc76 JZ 0x0043cca6
0043cc78 MOV EDI,0x80
0043cc7d CALL 0x00441cb0
0043cc82 PUSH RBX
0043cc83 MOV EDX,0x8
0043cc88 XOR R9D,R9D
0043cc8b PUSH RAX
0043cc8c MOV R8D,0x5
0043cc92 MOV ECX,0x80
0043cc97 MOV RDI,R12
0043cc9a MOV ESI,0x80
0043cc9f CALL 0x00484610
0043cca4 POP RAX
0043cca5 POP RDX
0043cca6 ADD RSP,0x8
0043ccaa MOV RAX,R12
0043ccad POP RBX
0043ccae POP R12
0043ccb0 RET
