007bbd60 ENDBR64
007bbd64 PUSH R15
007bbd66 MOV R15D,R9D
007bbd69 PUSH R14
007bbd6b MOV R14D,ECX
007bbd6e PUSH R13
007bbd70 MOV R13D,EDX
007bbd73 PUSH R12
007bbd75 MOV R12,RSI
007bbd78 PUSH RBP
007bbd79 PUSH RBX
007bbd7a MOV RBX,R8
007bbd7d SUB RSP,0x8
007bbd81 CALL 0x0076f080
007bbd86 TEST RAX,RAX
007bbd89 JZ 0x007bbdd4
007bbd8b SUB RSP,0x8
007bbd8f MOV RBP,RAX
007bbd92 MOV RSI,R12
007bbd95 MOV RDI,RAX
007bbd98 PUSH 0x0
007bbd9a MOV R9D,R15D
007bbd9d MOV R8,RBX
007bbda0 MOV ECX,R14D
007bbda3 PUSH 0x0
007bbda5 MOV EDX,R13D
007bbda8 PUSH 0x0
007bbdaa PUSH 0x0
007bbdac PUSH 0x0
007bbdae CALL 0x007bb590
007bbdb3 ADD RSP,0x30
007bbdb7 MOV RDI,RBP
007bbdba MOV R12D,EAX
007bbdbd CALL 0x0076f0e0
007bbdc2 ADD RSP,0x8
007bbdc6 MOV EAX,R12D
007bbdc9 POP RBX
007bbdca POP RBP
007bbdcb POP R12
007bbdcd POP R13
007bbdcf POP R14
007bbdd1 POP R15
007bbdd3 RET
007bbdd4 MOV RAX,-0x70
007bbddb MOV R12D,0xffffffff
007bbde1 MOV RAX,qword ptr FS:[RAX]
007bbde5 MOV dword ptr [RAX + 0x1f0],0xffffffff
007bbdef MOV RAX,-0x18
007bbdf6 MOV dword ptr FS:[RAX],0xffffffff
007bbdfd JMP 0x007bbdc2
