0045aea0 ENDBR64
0045aea4 PUSH R13
0045aea6 PUSH R12
0045aea8 PUSH RBP
0045aea9 PUSH RBX
0045aeaa SUB RSP,0x8
0045aeae TEST RCX,RCX
0045aeb1 JNZ 0x0045aeb9
0045aeb3 AND R8D,0x1
0045aeb7 JNZ 0x0045af00
0045aeb9 CALL 0x00511480
0045aebe LEA RDX,[0x7d8960]
0045aec5 MOV ESI,0x56d
0045aeca XOR R12D,R12D
0045aecd LEA RDI,[0x7d7da8]
0045aed4 CALL 0x005115a0
0045aed9 XOR EDX,EDX
0045aedb MOV ESI,0x80106
0045aee0 XOR EAX,EAX
0045aee2 MOV EDI,0x39
0045aee7 CALL 0x00511950
0045aeec ADD RSP,0x8
0045aef0 MOV EAX,R12D
0045aef3 POP RBX
0045aef4 POP RBP
0045aef5 POP R12
0045aef7 POP R13
0045aef9 RET
0045af00 MOV R12,RDX
0045af03 TEST RDX,RDX
0045af06 JZ 0x0045af90
0045af0c MOV RBX,RDI
0045af0f MOV RDI,qword ptr [RDI]
0045af12 MOV R13,R9
0045af15 CALL 0x00439bf0
0045af1a MOV RBP,RAX
0045af1d TEST RAX,RAX
0045af20 JZ 0x0045af88
0045af22 TEST R13,R13
0045af25 JZ 0x0045af3c
0045af27 MOV RDX,qword ptr [RSP + 0x30]
0045af2c LEA RDI,[RBX + 0x18]
0045af30 MOV RSI,R13
0045af33 CALL 0x0053b9b0
0045af38 TEST EAX,EAX
0045af3a JZ 0x0045af88
0045af3c SUB RSP,0x8
0045af40 MOV EDX,0x494
0045af45 MOV RSI,R12
0045af48 MOV RDI,RBP
0045af4b PUSH RBX
0045af4c LEA R9,[0x4551a0]
0045af53 LEA R8,[0x4546e0]
0045af5a LEA RCX,[0x7d7e44]
0045af61 CALL 0x00458bf0
0045af66 MOV R12D,EAX
0045af69 POP RAX
0045af6a POP RDX
0045af6b MOV RDI,RBP
0045af6e CALL 0x004a84e0
0045af73 ADD RSP,0x8
0045af77 MOV EAX,R12D
0045af7a POP RBX
0045af7b POP RBP
0045af7c POP R12
0045af7e POP R13
0045af80 RET
0045af88 XOR R12D,R12D
0045af8b JMP 0x0045af6b
0045af90 CALL 0x00511480
0045af95 LEA RDX,[0x7d95c8]
0045af9c MOV ESI,0x416
0045afa1 LEA RDI,[0x7d7da8]
0045afa8 CALL 0x005115a0
0045afad XOR EDX,EDX
0045afaf MOV ESI,0xc0102
0045afb4 XOR EAX,EAX
0045afb6 MOV EDI,0x39
0045afbb CALL 0x00511950
0045afc0 JMP 0x0045aeec
