00618200 ENDBR64
00618204 PUSH R15
00618206 MOV R15,RDX
00618209 PUSH R14
0061820b MOV R14,RSI
0061820e PUSH R13
00618210 MOV R13,RDI
00618213 MOV RDI,RCX
00618216 PUSH R12
00618218 PUSH RBP
00618219 MOV RBP,RCX
0061821c CALL 0x004aefa0
00618221 MOV RDI,RBP
00618224 CALL 0x004af190
00618229 TEST RAX,RAX
0061822c JZ 0x00618240
0061822e MOV RSI,RAX
00618231 MOV RDI,R15
00618234 MOV R12,RAX
00618237 CALL 0x006181a0
0061823c TEST EAX,EAX
0061823e JNZ 0x00618260
00618240 XOR R12D,R12D
00618243 MOV RDI,RBP
00618246 CALL 0x004af0f0
0061824b POP RBP
0061824c MOV EAX,R12D
0061824f POP R12
00618251 POP R13
00618253 POP R14
00618255 POP R15
00618257 RET
00618260 MOV RDX,R12
00618263 MOV RCX,RBP
00618266 MOV RSI,R14
00618269 MOV RDI,R13
0061826c CALL 0x006176d0
00618271 MOV R12D,EAX
00618274 JMP 0x00618243
