004afe40 ENDBR64
004afe44 CMP EDI,0x3bff
004afe4a JG 0x004afe60
004afe4c CMP EDI,0x1dff
004afe52 JLE 0x004afe80
004afe54 MOV EAX,0xc0
004afe59 CMP ESI,-0x1
004afe5c JNZ 0x004afe6a
004afe5e RET
004afe60 MOV EAX,0x100
004afe65 CMP ESI,-0x1
004afe68 JZ 0x004afe5e
004afe6a MOV EDX,ESI
004afe6c SAR EDX,0x1
004afe6e CMP EAX,EDX
004afe70 CMOVG EAX,EDX
004afe73 XOR EDX,EDX
004afe75 CMP ESI,0x9f
004afe7b CMOVLE EAX,EDX
004afe7e RET
004afe80 CMP EDI,0xbff
004afe86 JG 0x004afea8
004afe88 CMP EDI,0x7ff
004afe8e JG 0x004afeb0
004afe90 XOR EAX,EAX
004afe92 CMP EDI,0x3ff
004afe98 JLE 0x004afe5e
004afe9a MOV EAX,0x50
004afe9f JMP 0x004afe65
004afea8 MOV EAX,0x80
004afead JMP 0x004afe65
004afeb0 MOV EAX,0x70
004afeb5 JMP 0x004afe65
