005afc30 ENDBR64
005afc34 PUSH R15
005afc36 PUSH R14
005afc38 PUSH R13
005afc3a MOV R13,RSI
005afc3d MOV ESI,0x4
005afc42 PUSH R12
005afc44 PUSH RBP
005afc45 MOV RBP,RCX
005afc48 PUSH RBX
005afc49 MOV RBX,RDX
005afc4c SUB RSP,0x18
005afc50 MOV qword ptr [RSP],RDI
005afc54 MOV RDI,RDX
005afc57 CALL 0x004b01f0
005afc5c TEST EAX,EAX
005afc5e JNZ 0x005afc74
005afc60 MOV ESI,0x4
005afc65 MOV RDI,R13
005afc68 CALL 0x004b01f0
005afc6d MOV R12D,EAX
005afc70 TEST EAX,EAX
005afc72 JZ 0x005afcc0
005afc74 CALL 0x00511480
005afc79 LEA RDX,[0x809ab0]
005afc80 MOV ESI,0x30
005afc85 XOR R12D,R12D
005afc88 LEA RDI,[0x809a15]
005afc8f CALL 0x005115a0
005afc94 XOR EDX,EDX
005afc96 MOV ESI,0xc0101
005afc9b XOR EAX,EAX
005afc9d MOV EDI,0x3
005afca2 CALL 0x00511950
005afca7 ADD RSP,0x18
005afcab MOV EAX,R12D
005afcae POP RBX
005afcaf POP RBP
005afcb0 POP R12
005afcb2 POP R13
005afcb4 POP R14
005afcb6 POP R15
005afcb8 RET
005afcc0 MOV RDI,RBP
005afcc3 CALL 0x004aefa0
005afcc8 MOV RAX,qword ptr [RSP]
005afccc CMP R13,RAX
005afccf JZ 0x005afda8
005afcd5 MOV R15,RAX
005afcd8 CMP RBX,RAX
005afcdb JZ 0x005afda8
005afce1 MOV RDI,RBP
005afce4 CALL 0x004af190
005afce9 MOV R14,RAX
005afcec TEST R15,R15
005afcef JZ 0x005afd98
005afcf5 TEST RAX,RAX
005afcf8 JZ 0x005afd98
005afcfe MOV RSI,R13
005afd01 MOV RDI,RAX
005afd04 CALL 0x004b05d0
005afd09 TEST RAX,RAX
005afd0c JZ 0x005afd98
005afd12 MOV RDI,RBX
005afd15 CALL 0x004aff20
005afd1a MOV RDI,RBX
005afd1d MOV dword ptr [RSP + 0xc],EAX
005afd21 CALL 0x004b00b0
005afd26 TEST EAX,EAX
005afd28 JZ 0x005afdc0
005afd2e MOV RSI,R13
005afd31 MOV RDI,R15
005afd34 CALL 0x004b05d0
005afd39 TEST RAX,RAX
005afd3c JZ 0x005afd98
005afd3e CMP dword ptr [RSP + 0xc],0x1
005afd43 MOV R13D,0x1
005afd49 JG 0x005afd5f
005afd4b JMP 0x005afde0
005afd50 ADD R13D,0x1
005afd54 CMP dword ptr [RSP + 0xc],R13D
005afd59 JZ 0x005afde0
005afd5f MOV RDX,RBP
005afd62 MOV RSI,R14
005afd65 MOV RDI,R14
005afd68 CALL 0x004b3eb0
005afd6d TEST EAX,EAX
005afd6f JZ 0x005afd98
005afd71 MOV ESI,R13D
005afd74 MOV RDI,RBX
005afd77 CALL 0x004afc60
005afd7c TEST EAX,EAX
005afd7e JZ 0x005afd50
005afd80 MOV RCX,RBP
005afd83 MOV RDX,R14
005afd86 MOV RSI,R15
005afd89 MOV RDI,R15
005afd8c CALL 0x004b2770
005afd91 TEST EAX,EAX
005afd93 JNZ 0x005afd50
005afd95 NOP dword ptr [RAX]
005afd98 MOV RDI,RBP
005afd9b CALL 0x004af0f0
005afda0 JMP 0x005afca7
005afda8 MOV RDI,RBP
005afdab CALL 0x004af190
005afdb0 MOV R15,RAX
005afdb3 JMP 0x005afce1
005afdc0 MOV ESI,0x1
005afdc5 MOV RDI,R15
005afdc8 CALL 0x004b0500
005afdcd TEST EAX,EAX
005afdcf JNZ 0x005afd3e
005afdd5 JMP 0x005afd98
005afde0 MOV R12D,0x1
005afde6 CMP R15,qword ptr [RSP]
005afdea JZ 0x005afd98
005afdec MOV RDI,qword ptr [RSP]
005afdf0 MOV RSI,R15
005afdf3 XOR R12D,R12D
005afdf6 CALL 0x004b05d0
005afdfb TEST RAX,RAX
005afdfe SETNZ R12B
005afe02 JMP 0x005afd98
