005aa670 ENDBR64
005aa674 PUSH RBP
005aa675 LEA RAX,[RSI + 0x48]
005aa679 MOV RDX,RSI
005aa67c MOV R8D,dword ptr [RDI + 0x4]
005aa680 PUSH RBX
005aa681 MOV EBX,dword ptr [RDI]
005aa683 XOR EBX,dword ptr [RSI]
005aa685 XOR R8D,dword ptr [RSI + 0x4]
005aa689 MOV ESI,EBX
005aa68b MOV ECX,EBX
005aa68d SHR ESI,0x10
005aa690 SHR ECX,0x18
005aa693 MOVZX ESI,SIL
005aa697 MOV ECX,dword ptr [RAX + RCX*0x4]
005aa69a ADD ECX,dword ptr [RAX + RSI*0x4 + 0x400]
005aa6a1 MOVZX ESI,BH
005aa6a4 ADD ESI,0x200
005aa6aa XOR ECX,dword ptr [RAX + RSI*0x4]
005aa6ad MOVZX ESI,BL
005aa6b0 XOR EBX,dword ptr [RDX + 0x8]
005aa6b3 ADD ECX,dword ptr [RAX + RSI*0x4 + 0xc00]
005aa6ba XOR ECX,R8D
005aa6bd MOV R8D,ECX
005aa6c0 MOV ESI,ECX
005aa6c2 MOVZX EBP,CH
005aa6c5 SHR R8D,0x10
005aa6c9 SHR ESI,0x18
005aa6cc MOVZX R8D,R8B
005aa6d0 MOV ESI,dword ptr [RAX + RSI*0x4]
005aa6d3 ADD ESI,dword ptr [RAX + R8*0x4 + 0x400]
005aa6db MOV R8D,EBP
005aa6de ADD R8D,0x200
005aa6e5 XOR ESI,dword ptr [RAX + R8*0x4]
005aa6e9 MOVZX R8D,CL
005aa6ed XOR ECX,dword ptr [RDX + 0xc]
005aa6f0 ADD ESI,dword ptr [RAX + R8*0x4 + 0xc00]
005aa6f8 XOR EBX,ESI
005aa6fa MOV R8D,EBX
005aa6fd MOV ESI,EBX
005aa6ff MOVZX EBP,BH
005aa702 SHR R8D,0x10
005aa706 SHR ESI,0x18
005aa709 MOVZX R8D,R8B
005aa70d MOV ESI,dword ptr [RAX + RSI*0x4]
005aa710 ADD ESI,dword ptr [RAX + R8*0x4 + 0x400]
005aa718 MOV R8D,EBP
005aa71b ADD R8D,0x200
005aa722 XOR ESI,dword ptr [RAX + R8*0x4]
005aa726 MOVZX R8D,BL
005aa72a XOR EBX,dword ptr [RDX + 0x10]
005aa72d ADD ESI,dword ptr [RAX + R8*0x4 + 0xc00]
005aa735 XOR ESI,ECX
005aa737 MOV R8D,ESI
005aa73a MOV ECX,ESI
005aa73c SHR R8D,0x10
005aa740 SHR ECX,0x18
005aa743 MOVZX R8D,R8B
005aa747 MOV ECX,dword ptr [RAX + RCX*0x4]
005aa74a ADD ECX,dword ptr [RAX + R8*0x4 + 0x400]
005aa752 MOV R10D,ECX
005aa755 MOV ECX,ESI
005aa757 MOVZX ECX,CH
005aa75a MOV R8D,ECX
005aa75d ADD R8D,0x200
005aa764 MOV ECX,dword ptr [RAX + R8*0x4]
005aa768 MOVZX R8D,SIL
005aa76c XOR ECX,R10D
005aa76f ADD ECX,dword ptr [RAX + R8*0x4 + 0xc00]
005aa777 XOR ECX,EBX
005aa779 XOR ESI,dword ptr [RDX + 0x14]
005aa77c MOV R9D,ECX
005aa77f MOV R8D,ESI
005aa782 MOV ESI,ECX
005aa784 MOVZX EBX,CH
005aa787 SHR R9D,0x10
005aa78b SHR ESI,0x18
005aa78e MOVZX R9D,R9B
005aa792 MOV ESI,dword ptr [RAX + RSI*0x4]
005aa795 ADD ESI,dword ptr [RAX + R9*0x4 + 0x400]
005aa79d MOV R9D,EBX
005aa7a0 ADD R9D,0x200
005aa7a7 XOR ESI,dword ptr [RAX + R9*0x4]
005aa7ab MOVZX R9D,CL
005aa7af XOR ECX,dword ptr [RDX + 0x18]
005aa7b2 ADD ESI,dword ptr [RAX + R9*0x4 + 0xc00]
005aa7ba XOR ESI,R8D
005aa7bd MOV R8D,ECX
005aa7c0 MOV R9D,ESI
005aa7c3 MOV ECX,ESI
005aa7c5 MOV EBX,ESI
005aa7c7 SHR R9D,0x10
005aa7cb SHR ECX,0x18
005aa7ce MOVZX EBX,BH
005aa7d1 MOVZX R9D,R9B
005aa7d5 MOV ECX,dword ptr [RAX + RCX*0x4]
005aa7d8 ADD ECX,dword ptr [RAX + R9*0x4 + 0x400]
005aa7e0 MOV R9D,EBX
005aa7e3 ADD R9D,0x200
005aa7ea XOR ECX,dword ptr [RAX + R9*0x4]
005aa7ee MOVZX R9D,SIL
005aa7f2 XOR ESI,dword ptr [RDX + 0x1c]
005aa7f5 ADD ECX,dword ptr [RAX + R9*0x4 + 0xc00]
005aa7fd XOR ECX,R8D
005aa800 MOV R8D,ESI
005aa803 MOV R9D,ECX
005aa806 MOV ESI,ECX
005aa808 MOVZX EBX,CH
005aa80b SHR R9D,0x10
005aa80f SHR ESI,0x18
005aa812 MOVZX R9D,R9B
005aa816 MOV ESI,dword ptr [RAX + RSI*0x4]
005aa819 ADD ESI,dword ptr [RAX + R9*0x4 + 0x400]
005aa821 MOV R9D,EBX
005aa824 ADD R9D,0x200
005aa82b XOR ESI,dword ptr [RAX + R9*0x4]
005aa82f MOVZX R9D,CL
005aa833 XOR ECX,dword ptr [RDX + 0x20]
005aa836 ADD ESI,dword ptr [RAX + R9*0x4 + 0xc00]
005aa83e XOR ESI,R8D
005aa841 MOV R8D,ECX
005aa844 MOV R9D,ESI
005aa847 MOV ECX,ESI
