00445de0 ENDBR64
00445de4 PUSH R12
00445de6 XOR R12D,R12D
00445de9 PUSH RBX
00445dea MOV RBX,RDI
00445ded SUB RSP,0x8
00445df1 CALL 0x004394e0
00445df6 TEST EAX,EAX
00445df8 JZ 0x00445e46
00445dfa MOV EDX,0x4c
00445dff LEA RSI,[0x7d7320]
00445e06 MOV EDI,0x1d8
00445e0b CALL 0x004198d0
00445e10 MOV R12,RAX
00445e13 TEST RAX,RAX
00445e16 JZ 0x00445e46
00445e18 MOV EDI,0x100
00445e1d CALL 0x004466e0
00445e22 PUSH RBX
00445e23 MOV EDX,0x8
00445e28 XOR R9D,R9D
00445e2b PUSH RAX
00445e2c MOV R8D,0x3
00445e32 MOV ECX,0x80
00445e37 MOV RDI,R12
00445e3a MOV ESI,0x100
00445e3f CALL 0x00484610
00445e44 POP RAX
00445e45 POP RDX
00445e46 ADD RSP,0x8
00445e4a MOV RAX,R12
00445e4d POP RBX
00445e4e POP R12
00445e50 RET
