0043cbc0 ENDBR64
0043cbc4 PUSH R12
0043cbc6 XOR R12D,R12D
0043cbc9 PUSH RBX
0043cbca MOV RBX,RDI
0043cbcd SUB RSP,0x8
0043cbd1 CALL 0x004394e0
0043cbd6 TEST EAX,EAX
0043cbd8 JZ 0x0043cc26
0043cbda MOV EDX,0x5b
0043cbdf LEA RSI,[0x7d6d18]
0043cbe6 MOV EDI,0x1c0
0043cbeb CALL 0x004198d0
0043cbf0 MOV R12,RAX
0043cbf3 TEST RAX,RAX
0043cbf6 JZ 0x0043cc26
0043cbf8 MOV EDI,0xc0
0043cbfd CALL 0x00441cb0
0043cc02 PUSH RBX
0043cc03 MOV EDX,0x8
0043cc08 XOR R9D,R9D
0043cc0b PUSH RAX
0043cc0c MOV R8D,0x5
0043cc12 MOV ECX,0x80
0043cc17 MOV RDI,R12
0043cc1a MOV ESI,0xc0
0043cc1f CALL 0x00484610
0043cc24 POP RAX
0043cc25 POP RDX
0043cc26 ADD RSP,0x8
0043cc2a MOV RAX,R12
0043cc2d POP RBX
0043cc2e POP R12
0043cc30 RET
