004b0650 ENDBR64
004b0654 PUSH R12
004b0656 PUSH RBP
004b0657 SUB RSP,0x8
004b065b TEST RDI,RDI
004b065e JZ 0x004b06ad
004b0660 MOV ESI,0x8
004b0665 MOV RBP,RDI
004b0668 CALL 0x004b01f0
004b066d TEST EAX,EAX
004b066f JNZ 0x004b06a0
004b0671 CALL 0x004afa00
004b0676 MOV R12,RAX
004b0679 TEST R12,R12
004b067c JZ 0x004b06ad
004b067e MOV RSI,RBP
004b0681 MOV RDI,R12
004b0684 CALL 0x004b05d0
004b0689 TEST RAX,RAX
004b068c JZ 0x004b06c0
004b068e ADD RSP,0x8
004b0692 MOV RAX,R12
004b0695 POP RBP
004b0696 POP R12
004b0698 RET
004b06a0 CALL 0x004afa70
004b06a5 MOV R12,RAX
004b06a8 TEST R12,R12
004b06ab JNZ 0x004b067e
004b06ad XOR R12D,R12D
004b06b0 ADD RSP,0x8
004b06b4 MOV RAX,R12
004b06b7 POP RBP
004b06b8 POP R12
004b06ba RET
004b06c0 MOV RDI,R12
004b06c3 CALL 0x004b0310
004b06c8 JMP 0x004b06ad
